Community,Node,type,country,neighbor_count,In-Degree,Out-Degree,Avg-Weight,Node_Count,Edge_Count,ownership,partnership,family_relationship,membership,Connected_Node_Type_company,Connected_Node_Type_organization,Connected_Node_Type_Uncategorized,Connected_Node_Type_person,Connected_Node_Type_location,Connected_Node_Type_political_organization,Connected_Node_Type_vessel,Connected_Node_Type_movement,Connected_Node_Type_event,Suspicion rate
0,Erin Bowen,person,Country_271835,2.0,2,0,0.896157565,2,2,0,0,0,2,0,1,1,0,0,0,0,0,0,22.00%
0,621770,organization,Unknown,2.0,2,0,0.828581365,2,2,0,0,2,0,0,2,0,0,0,0,0,0,0,34.33%
0,381051499,organization,Unknown,2.0,2,0,0.80744487,2,2,0,0,0,2,0,1,0,0,0,0,1,0,0,34.33%
0,b605391a-2c84-4d59-98f0-d12fd185ec64,location,Unknown,2.0,2,0,0.8314827,2,2,2,0,0,0,0,2,0,0,0,0,0,0,0,22.00%
0,47562016,organization,Unknown,11.0,0,11,0.8914537899999999,11,11,5,6,0,0,0,3,5,3,0,0,0,0,0,45.00%
0,86590543,organization,Unknown,6.0,2,5,0.85388154,6,7,4,1,1,1,0,2,0,3,1,1,0,0,0,0.00%
0,Jonathan Smith,person,Country_271835,5.0,4,1,0.910687444,5,5,3,0,2,0,0,2,1,1,1,0,0,0,0,6.17%
0,217fe70e-cc2d-4899-9127-e0a7da182699,location,Unknown,2.0,2,0,0.8883885499999999,2,2,2,0,0,0,0,1,0,1,0,0,0,0,0,22.00%
0,Angela Wright,person,Country_271835,1.0,1,0,0.8735238,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,37.83%
0,43454,organization,Unknown,2.0,2,1,0.8417189166666666,2,3,2,0,0,1,0,2,0,0,0,1,0,0,0,5.88%
0,Sea Harvest,Uncategorized,Unknown,13.0,7,9,0.85277835875,13,16,2,2,5,7,1,4,8,3,0,0,0,0,0,12.33%
0,9786,organization,Unknown,19.0,2,17,0.8751052494736842,19,19,3,11,5,0,1,9,5,2,2,0,0,0,0,16.83%
0,36295,organization,Unknown,2.0,0,2,0.83960725,2,2,0,0,0,2,0,0,2,0,0,0,0,0,0,45.00%
0,Jeremiah Delacruz,person,Country_271835,3.0,1,2,0.9135028133333334,3,3,3,0,0,0,0,0,0,0,0,0,0,0,3,16.83%
0,âsquids,event,Unknown,7.0,4,3,0.9122562371428572,7,7,4,0,0,3,0,2,1,1,0,0,0,0,3,6.17%
0,âclams,event,Unknown,7.0,5,2,0.9215346271428572,7,7,4,1,0,2,0,2,1,1,0,0,0,0,3,6.17%
0,Octopus,event,Unknown,3.0,0,3,0.9334253,3,3,3,0,0,0,0,0,0,1,0,0,0,0,2,32.67%
0,Anita Tate,person,Country_709784,8.0,0,8,0.85858160625,8,8,3,0,2,3,0,3,3,2,0,0,0,0,0,32.67%
0,371bf15a-3000-499a-88e4-cc096b028ec7,location,Unknown,1.0,0,1,0.8243859,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,48.50%
0,âCinder,Uncategorized,Unknown,2.0,1,1,0.861171885,2,2,2,0,0,0,0,0,1,1,0,0,0,0,0,12.33%
0,Kariba Dam  N.V. Brothers,Uncategorized,Unknown,4.0,3,1,0.87012746,4,4,3,1,0,0,0,0,3,1,0,0,0,0,0,12.33%
0,Seafreeze Ltd,Uncategorized,Unknown,3.0,0,3,0.8834255533333334,3,3,3,0,0,0,0,1,0,2,0,0,0,0,0,38.83%
0,36033030,organization,Unknown,3.0,1,2,0.8788919166666668,3,3,3,0,0,0,0,0,1,2,0,0,0,0,0,23.00%
0,Todd Lane,person,Country_271835,4.0,3,1,0.8866943274999999,4,4,3,0,1,0,0,1,2,1,0,0,0,0,0,6.17%
0,900338,organization,Unknown,1.0,0,1,0.8821811,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,60.83%
0,Wendy Miller,person,Country_712875,1.0,0,1,0.83708423,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,48.50%
0,Darin Torres,person,Country_271835,2.0,0,2,0.35685,2,2,1,0,1,0,0,0,1,1,0,0,0,0,0,32.67%
0,402,organization,Unknown,1.0,0,1,0.81751084,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,54.67%
0,455617,organization,Unknown,2.0,0,2,0.8693294300000001,2,2,0,2,0,0,0,0,1,0,0,0,1,0,0,45.00%
0,Manipur Market AG Consultants,company,Country_675160,5.0,0,5,0.8321768799999999,5,5,2,0,0,3,0,1,3,1,0,0,0,0,0,38.83%
0,12358151,political_organization,Unknown,7.0,0,8,0.83849711,7,8,5,0,2,1,0,3,4,1,0,0,0,0,0,32.67%
0,72092,organization,Unknown,4.0,0,4,0.84925965,4,4,2,2,0,0,1,1,1,0,1,0,0,0,0,32.67%
0,Scania Seafaring SRL Express,company,Country_271835,2.0,1,1,0.83352152,2,2,1,1,0,0,0,1,1,0,0,0,0,0,0,18.50%
0,114d2882-b620-4098-bb56-d865bbb85339,location,Unknown,2.0,2,0,0.83886054,2,2,0,0,0,2,0,0,2,0,0,0,0,0,0,22.00%
0,Getis-Ord,Uncategorized,Unknown,2.0,0,2,0.84299415,2,2,0,0,1,1,0,1,0,0,1,0,0,0,0,32.67%
0,e0cdfc51-7473-481d-8900-03f66d6e359e,location,Unknown,1.0,1,0,0.85658735,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,37.83%
0,3 Ltd. Liability Co,Uncategorized,Unknown,2.0,1,1,0.87961578,2,2,0,0,1,1,0,0,2,0,0,0,0,0,0,18.50%
0,âUS,Uncategorized,Unknown,3.0,0,3,0.9150491333333334,3,3,0,0,0,3,0,1,2,0,0,0,0,0,0,45.00%
0,intrafish,Uncategorized,Unknown,1.0,1,0,0.9091044,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,50.17%
0,Christopher Moore,person,Country_271835,2.0,1,1,0.817986375,2,2,0,0,0,2,0,0,1,0,1,0,0,0,0,6.17%
0,âtotal,event,Unknown,2.0,2,0,0.92177635,2,2,0,0,0,2,0,0,1,0,0,0,0,0,1,22.00%
0,âcatch,event,Unknown,1.0,0,1,0.8978672,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,48.50%
0,14 months,movement,Unknown,2.0,1,1,0.85350127,2,2,0,0,0,2,0,1,1,0,0,0,0,0,0,6.17%
0,9590898,organization,Unknown,5.0,0,5,0.8262210299999999,5,5,4,0,0,1,0,4,0,1,0,0,0,0,0,38.83%
0,Joshua Garrett,person,Arreciviento,4.0,2,2,0.8223729,4,4,3,0,0,1,0,4,0,0,0,0,0,0,0,6.17%
0,95230042,organization,Unknown,2.0,2,0,0.82172435,2,2,0,0,0,2,0,2,0,0,0,0,0,0,0,34.33%
0,3308429,organization,Unknown,2.0,2,0,0.8245666899999999,2,2,2,0,0,0,0,1,0,1,0,0,0,0,0,28.17%
0,Donald Thompson,person,Country_271835,2.0,1,1,0.8856302,2,2,0,1,1,0,0,0,1,1,0,0,0,0,0,6.17%
0,67909,organization,Unknown,2.0,0,2,0.8362962199999999,2,2,0,1,0,1,0,2,0,0,0,0,0,0,0,45.00%
0,461553,organization,Unknown,2.0,1,1,0.85996217,2,2,1,0,0,1,0,0,2,0,0,0,0,0,0,18.50%
0,4258240,organization,Unknown,3.0,0,3,0.8301442333333333,3,3,1,0,2,0,0,1,0,1,1,0,0,0,0,32.67%
0,73921,organization,Unknown,2.0,2,0,0.8336108,2,2,2,0,0,0,0,2,0,0,0,0,0,0,0,34.33%
0,891,organization,Unknown,8.0,0,8,0.84773022,8,8,8,0,0,0,0,0,1,2,2,0,3,0,0,26.50%
0,a96730cc-485e-46be-aba4-339442bacd8d,location,Unknown,5.0,1,4,0.837071042,5,5,5,0,0,0,0,1,0,2,0,0,2,0,0,16.83%
0,a7948099-0cab-4b80-8707-2ada931ac288,location,Unknown,1.0,1,0,0.80243474,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,37.83%
0,72875,organization,Unknown,2.0,0,2,0.8583662999999999,2,2,0,0,0,2,1,0,0,0,1,0,0,0,0,32.67%
0,82462633,organization,Unknown,6.0,0,6,0.877717035,6,6,0,3,2,1,2,3,0,1,0,0,0,0,0,38.83%
0,245658,organization,Unknown,1.0,0,1,0.836853,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,60.83%
0,552027385,organization,Unknown,3.0,1,2,0.8367243000000001,3,3,0,0,0,3,1,2,0,0,0,0,0,0,0,29.17%
0,ParÃ¡âs,event,Unknown,2.0,2,0,0.820806685,2,2,1,0,0,1,0,1,1,0,0,0,0,0,0,22.00%
0,Ricardo Gomez,person,Country_271835,1.0,1,1,0.8603257,1,2,0,0,0,2,0,0,2,0,0,0,0,0,0,6.17%
0,The Salty Dog Tidepool Kga Transport,Uncategorized,Unknown,8.0,5,5,0.858807326,8,10,0,1,0,9,1,2,2,3,1,0,0,1,0,0.00%
0,Pitâ,Uncategorized,Unknown,2.0,1,1,0.82514456,2,2,2,0,0,0,0,0,1,1,0,0,0,0,0,12.33%
0,Rafaelâs,Uncategorized,Unknown,3.0,3,0,0.8650146066666666,3,3,0,0,0,3,1,1,1,0,0,0,0,0,0,34.33%
0,DDG,vessel,Unknown,3.0,3,0,0.8241940900000001,3,3,3,0,0,0,0,1,0,0,1,0,1,0,0,22.00%
0,d4b66d04-ad3c-425a-a123-00e589b86a52,location,Unknown,2.0,2,0,0.84668818,2,2,0,0,0,2,1,0,0,1,0,0,0,0,0,22.00%
0,âencounteredâ,Uncategorized,Unknown,4.0,4,0,0.8921082,4,4,0,0,0,4,1,1,1,0,1,0,0,0,0,22.00%
0,f7a4114d-d1ca-44df-a7e0-c72e440671ba,location,Unknown,9.0,9,0,0.8911030555555555,9,9,3,0,5,1,1,5,2,1,0,0,0,0,0,22.00%
0,3433,organization,Unknown,2.0,1,2,0.8555821033333334,2,3,0,1,2,0,2,0,0,1,0,0,0,0,0,29.17%
0,Kara Sullivan,person,Country_271835,2.0,2,0,0.93359613,2,2,0,0,2,0,1,1,0,0,0,0,0,0,0,22.00%
0,52093e45-b873-4300-9612-8dfc291b1339,location,Unknown,9.0,4,5,0.9081954677777778,9,9,0,8,0,1,2,4,1,2,0,0,0,0,0,6.17%
0,200640636,organization,Unknown,8.0,4,4,0.8907349124999999,8,8,1,7,0,0,1,4,1,1,1,0,0,0,0,6.17%
0,300668979,organization,Unknown,10.0,6,4,0.8733457999999998,10,10,1,7,0,2,2,3,3,1,1,0,0,0,0,6.17%
0,Stacey Ortega,person,Country_271835,7.0,7,0,0.9018130771428572,7,7,0,7,0,0,1,4,1,0,1,0,0,0,0,22.00%
0,Playa de la Felicidad Oyj Cargo,Uncategorized,Unknown,13.0,2,11,0.8853373499999999,13,13,1,2,1,9,1,3,4,1,3,0,1,0,0,10.67%
0,allAfrica,Uncategorized,Unknown,1.0,1,0,0.85655963,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,50.17%
0,664738735,organization,Unknown,13.0,10,4,0.881092965,13,14,4,6,3,1,1,9,2,2,0,0,0,0,0,12.33%
0,98703,organization,Unknown,6.0,5,2,0.8578767,6,7,0,5,0,2,2,3,0,2,0,0,0,0,0,12.33%
0,34,organization,Unknown,25.0,19,9,0.8739234178571429,25,28,8,7,1,12,2,16,3,4,2,0,0,0,1,0.00%
0,380,organization,Unknown,27.0,4,23,0.883462625925926,27,27,4,11,1,11,2,5,7,6,3,0,4,0,0,10.67%
0,98,Uncategorized,Unknown,7.0,14,2,0.8373866537500001,7,16,6,2,8,0,0,12,0,0,2,2,0,0,0,0.00%
0,98,organization,Unknown,7.0,14,2,0.8373866537500001,7,16,6,2,8,0,0,12,0,0,2,2,0,0,0,0.00%
0,f514483d-fb5f-4cb2-bb8d-b616b10336d8,location,Unknown,4.0,4,0,0.92236255,4,4,0,0,1,3,0,2,1,0,1,0,0,0,0,22.00%
0,23,organization,Unknown,39.0,20,60,0.8670564232499999,39,80,18,42,6,14,4,48,10,8,6,2,2,0,0,2.27%
0,l y S.A. de C.V. International,Uncategorized,Unknown,17.0,15,3,0.7893914783333335,17,18,3,5,2,8,3,8,4,2,1,0,0,0,0,0.00%
0,653,organization,Unknown,4.0,4,0,0.8972226400000001,4,4,0,1,1,2,1,1,2,0,0,0,0,0,0,34.33%
0,FinestSea Ltd. Corporation Enterprises,Uncategorized,Unknown,5.0,4,1,0.8688171060000001,5,5,0,1,3,1,2,2,1,0,0,0,0,0,0,18.50%
0,2983,organization,Unknown,4.0,2,2,0.8319654125,4,4,0,0,0,4,1,0,1,0,0,2,0,0,0,5.88%
0,Elizabeth Anderson,person,Country_271835,4.0,4,0,0.86441873,4,4,0,0,2,2,0,0,1,1,1,0,0,0,1,22.00%
0,21323516,organization,Unknown,3.0,3,0,0.8230578566666665,3,3,0,2,1,0,1,2,0,0,0,0,0,0,0,34.33%
0,3506021,organization,Unknown,54.0,34,30,0.8643783618750001,54,64,10,23,6,25,7,28,12,4,8,1,0,1,3,0.00%
0,Conventionâ,Uncategorized,Unknown,2.0,2,0,0.81780681,2,2,0,0,2,0,1,1,0,0,0,0,0,0,0,34.33%
0,185106,organization,Unknown,3.0,2,1,0.8455595866666666,3,3,0,2,0,1,1,1,0,0,1,0,0,0,0,6.17%
0,Stephanie Garner,person,Country_271835,3.0,3,0,0.9475575566666666,3,3,0,0,3,0,1,2,0,0,0,0,0,0,0,22.00%
0,âpair,Uncategorized,Unknown,3.0,3,0,0.95766822,3,3,0,0,0,3,1,1,1,0,0,0,0,0,0,34.33%
0,Guessl,Uncategorized,Unknown,4.0,4,1,0.860546572,4,5,2,1,0,2,1,2,2,0,0,0,0,0,0,18.50%
0,Federated,Uncategorized,Unknown,18.0,5,14,0.7441787,18,19,11,2,0,6,2,5,5,2,2,0,1,0,2,10.67%
0,94760735,organization,Unknown,2.0,1,1,0.8513850000000001,2,2,0,0,1,1,1,0,1,0,0,0,0,0,0,18.50%
0,83,organization,Unknown,17.0,6,12,0.837272998888889,17,18,5,6,4,3,1,9,4,3,1,0,0,0,0,10.67%
0,imo,Uncategorized,Unknown,5.0,3,2,0.8615165599999999,5,5,3,2,0,0,1,2,2,0,0,0,0,0,0,18.50%
0,Torremolinos,Uncategorized,Unknown,7.0,6,1,0.8944563571428572,7,7,0,5,2,0,1,3,2,0,1,0,0,0,0,6.17%
0,International-Convention,Uncategorized,Unknown,7.0,7,1,0.8769795137499999,7,8,2,4,2,0,2,3,2,0,1,0,0,0,0,6.17%
0,551,organization,Unknown,10.0,10,0,0.8873289639999999,10,10,0,0,7,3,3,2,3,1,1,0,0,0,0,22.00%
0,Dana Goodwin,person,Marebak,24.0,19,12,0.8694279145161292,24,31,4,3,8,16,7,17,0,4,1,0,2,0,0,22.00%
0,Turkish Sword Buoy Incorporated Forwading,company,Oceanus,10.0,5,9,0.8236023764285715,10,14,1,5,0,8,2,7,2,3,0,0,0,0,0,23.00%
0,314,organization,Unknown,1.0,1,0,0.8461635,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,50.17%
0,56,organization,Unknown,10.0,4,6,0.8286758510000001,10,10,7,1,2,0,1,4,3,2,0,0,0,0,0,23.00%
0,23,vessel,Unknown,39.0,20,60,0.8670564232499999,39,80,18,42,6,14,4,48,10,8,6,2,2,0,0,2.27%
0,860067396,organization,Unknown,2.0,1,1,0.8167038200000001,2,2,0,1,1,0,0,2,0,0,0,0,0,0,0,18.50%
0,Misty Thomas,person,Country_271835,4.0,4,0,0.81303855,4,4,0,0,1,3,2,1,0,1,0,0,0,0,0,22.00%
0,43797101,organization,Unknown,3.0,4,0,0.8380846499999999,3,4,0,4,0,0,0,4,0,0,0,0,0,0,0,34.33%
0,Plattsâ,Uncategorized,Unknown,4.0,3,1,0.863080885,4,4,0,4,0,0,0,2,1,0,0,0,1,0,0,18.50%
0,Patricia Hunter,person,Country_271835,5.0,3,2,0.869240302,5,5,0,5,0,0,0,2,1,0,0,0,2,0,0,6.17%
0,Deepwater Horizon,vessel,Unknown,5.0,5,1,0.8398367200000001,5,6,0,6,0,0,0,4,1,1,0,0,0,0,0,6.17%
0,Kerala Market Corp Consulting,Uncategorized,Unknown,15.0,16,1,0.8267822688235295,15,17,2,15,0,0,2,7,2,3,1,0,2,0,0,6.17%
0,ee05a28e-82ba-4f1d-a60f-68797a422ada,location,Unknown,5.0,0,5,0.882016164,5,5,0,2,1,2,2,2,0,0,1,0,0,0,0,32.67%
0,USCGC,vessel,Unknown,7.0,7,0,0.8353881828571428,7,7,7,0,0,0,0,4,1,1,1,0,0,0,0,22.00%
0,1415,organization,Unknown,1.0,1,0,0.87695706,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,50.17%
0,17-Sep,,,,0,0,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.17%
0,990,organization,Unknown,11.0,5,8,0.877811653076923,11,13,3,7,0,3,3,7,1,2,0,0,0,0,0,23.00%
0,3878194,organization,Unknown,5.0,1,4,0.874664024,5,5,0,0,5,0,1,1,1,2,0,0,0,0,0,29.17%
0,Amy Kent,person,Country_271835,2.0,2,0,0.943100535,2,2,0,1,1,0,0,2,0,0,0,0,0,0,0,22.00%
0,87339689,organization,Unknown,2.0,2,1,0.8491334466666668,2,3,0,3,0,0,0,3,0,0,0,0,0,0,0,18.50%
0,507470,organization,Unknown,4.0,3,3,0.8356887766666667,4,6,4,2,0,0,0,2,2,1,0,1,0,0,0,0.00%
0,6457,organization,Unknown,3.0,2,2,0.8361927500000002,3,4,0,4,0,0,0,4,0,0,0,0,0,0,0,18.50%
0,6513816,organization,Unknown,3.0,2,2,0.8201162249999999,3,4,0,4,0,0,0,4,0,0,0,0,0,0,0,18.50%
0,Chris Booth,person,Country_271835,3.0,4,0,0.9235306375,3,4,4,0,0,0,0,3,0,0,0,1,0,0,0,22.00%
0,Debbie Daniel,person,Country_271835,1.0,0,1,0.89456236,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,48.50%
0,ipoa-iuu,Uncategorized,Unknown,4.0,4,0,0.91370236,4,4,0,0,0,4,1,1,2,0,0,0,0,0,0,34.33%
0,f64e747e-13de-4628-b939-92a8ff4eb03f,location,Unknown,3.0,3,0,0.8267886799999999,3,3,2,0,0,1,1,0,1,1,0,0,0,0,0,22.00%
0,Plastic,vessel,Unknown,7.0,1,6,0.8376186628571427,7,7,0,6,0,1,0,1,3,3,0,0,0,0,0,16.83%
0,Daniel Middleton,person,Country_271835,7.0,4,3,0.8462888199999999,7,7,0,4,2,1,0,2,1,2,0,0,1,0,1,6.17%
0,Kristi Weeks,person,Country_271835,4.0,4,0,0.8231768275,4,4,3,0,1,0,0,2,0,1,1,0,0,0,0,22.00%
0,Platts Oilgram,Uncategorized,Unknown,4.0,3,1,0.8628580750000001,4,4,0,4,0,0,0,2,1,0,0,0,1,0,0,18.50%
0,8211361,organization,Unknown,7.0,8,0,0.8527075500000001,7,8,0,8,0,0,1,7,0,0,0,0,0,0,0,34.33%
0,Sergio Ross,person,Country_271835,4.0,3,1,0.835611185,4,4,0,4,0,0,0,2,1,0,0,0,1,0,0,6.17%
0,13015105,organization,Unknown,3.0,3,2,0.9118602260000002,3,5,1,2,0,2,0,3,2,0,0,0,0,0,0,18.50%
0,6393,organization,Unknown,4.0,3,1,0.8719184725,4,4,0,1,3,0,0,3,0,0,0,1,0,0,0,5.88%
0,348079,political_organization,Unknown,2.0,1,1,0.851973355,2,2,0,2,0,0,0,1,0,0,0,1,0,0,0,6.17%
0,Fish Sea,Uncategorized,Unknown,4.0,3,1,0.856264075,4,4,0,0,0,4,0,2,1,0,1,0,0,0,0,6.17%
0,535955126,organization,Unknown,5.0,6,0,0.8551156466666666,5,6,0,6,0,0,0,6,0,0,0,0,0,0,0,34.33%
0,4447143,organization,Unknown,2.0,2,0,0.8528439649999999,2,2,0,0,0,2,0,1,0,1,0,0,0,0,0,28.17%
0,ba0514a3-9c57-4b04-a7c5-89fc0463fdda,location,Unknown,2.0,1,1,0.8851362199999999,2,2,0,0,0,2,0,2,0,0,0,0,0,0,0,6.17%
0,78,political_organization,Unknown,1.0,1,0,0.86972517,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,37.83%
0,Sea Products,Uncategorized,Unknown,15.0,12,7,0.7937127210526316,15,19,4,2,0,13,1,8,6,1,1,0,0,0,2,0.00%
0,651,organization,Unknown,3.0,2,1,0.8533809333333333,3,3,1,1,1,0,0,0,2,0,1,0,0,0,0,6.17%
0,Qingdao Kaiyuan Seafoods,Uncategorized,Unknown,9.0,3,6,0.8918349911111112,9,9,0,7,2,0,1,5,1,1,1,0,0,0,0,16.83%
0,Susan Erickson,person,Country_271835,2.0,2,0,0.83192555,2,2,0,2,0,0,0,1,1,0,0,0,0,0,0,22.00%
0,265494227,organization,Unknown,3.0,3,1,0.848825025,3,4,1,1,1,1,0,1,2,0,1,0,0,0,0,6.17%
0,f9f6fc72-83db-4c44-a818-dde6c33985f9,location,Unknown,6.0,6,0,0.8502254050000001,6,6,6,0,0,0,0,3,3,0,0,0,0,0,0,22.00%
0,âtransshipmentâ,Uncategorized,Unknown,3.0,2,1,0.91269835,3,3,0,0,0,3,0,1,1,0,0,0,1,0,0,18.50%
0,âNoticesââ,Uncategorized,Unknown,3.0,3,0,0.8783351333333332,3,3,3,0,0,0,1,2,0,0,0,0,0,0,0,34.33%
0,Feng,vessel,Unknown,4.0,4,0,0.8623449075,4,4,0,0,0,4,0,1,2,1,0,0,0,0,0,22.00%
0,Brooke Garza,person,Marebak,4.0,2,2,0.8432389549999999,4,4,0,0,0,4,1,1,1,0,0,0,1,0,0,6.17%
1,Daniel Roberts,person,Country_271835,2.0,1,1,0.9219145,2,2,0,0,1,1,0,0,0,1,1,0,0,0,0,6.17%
1,â60,Uncategorized,Unknown,2.0,1,1,0.924174995,2,2,0,1,0,1,0,0,1,0,0,0,1,0,0,18.50%
1,diesel,vessel,Unknown,4.0,2,2,0.92028331,4,4,0,2,0,2,1,1,2,0,0,0,0,0,0,6.17%
1,bottom otter trawler,vessel,Unknown,1.0,0,2,0.94091235,1,2,0,0,0,2,2,0,0,0,0,0,0,0,0,32.67%
1,da91eeb8-11f7-4634-95e7-f9413e9957aa,location,Unknown,2.0,1,1,0.883671315,2,2,0,1,0,1,0,0,1,1,0,0,0,0,0,6.17%
1,5383294,organization,Unknown,3.0,3,0,0.8701068866666667,3,3,2,0,1,0,0,2,1,0,0,0,0,0,0,34.33%
1,2673,organization,Unknown,2.0,1,1,0.842557995,2,2,1,0,1,0,0,2,0,0,0,0,0,0,0,18.50%
1,FlodstrÃ,Uncategorized,Unknown,1.0,0,1,0.80048126,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,60.83%
1,f85f009e-0fa0-403a-845e-64198883bf34,location,Unknown,2.0,0,2,0.82483125,2,2,2,0,0,0,0,0,1,0,1,0,0,0,0,32.67%
1,85b8a8cf-7f07-4bab-8b44-1d79940aab8d,location,Unknown,2.0,0,2,0.85664465,2,2,0,0,0,2,0,1,0,1,0,0,0,0,0,32.67%
1,Stephen Peterson,person,Country_271835,1.0,1,0,0.8980977,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,37.83%
1,4âÃâ15â,Uncategorized,Unknown,2.0,0,2,0.95598859,2,2,0,1,0,1,0,0,1,0,0,0,1,0,0,45.00%
1,Richard Bowers,person,Oceanus,2.0,0,2,0.804119525,2,2,1,0,1,0,0,0,0,1,0,0,0,0,1,32.67%
1,âPortlandâ,Uncategorized,Unknown,3.0,3,0,0.84040157,3,3,3,0,0,0,0,0,2,0,0,0,0,0,1,34.33%
1,âlast week,event,Unknown,2.0,1,1,0.832041445,2,2,2,0,0,0,0,0,2,0,0,0,0,0,0,6.17%
1,âyesterdayâ,Uncategorized,Unknown,2.0,0,2,0.8099899,2,2,2,0,0,0,0,0,1,0,0,0,0,0,1,45.00%
