id,product_services,revenue_omu,type,country,company_type,company_size
7 GmbH & Co. KG,"Manufacture of nonprecious and precious plated metal cutlery and flatware; the manufacture of nonpowered hand and edge tools; the manufacture of nonpowered handsaws; and the manufacture of saw blades, all types (including those for sawing machines); Metal kitchen utensils (except cutting-type) and pots and pans, such as cast iron skillets",16211.6849,Company,Marebak,Ges.m.b.H,5
7 Ltd. Liability Co Enterprises,,4766.6728,Company,Coralmarica,Limited,0
7 Ltd. Liability Co Express,,7152.3444,Company,Solovarossa,Limited,5
7 Ltd. Liability Co Shipping,,,Company,Oceanus,Limited,1
7 S.A. de C.V. Shipping,"Carbon steel reinforcing bar, rounds, and squares",,Company,Oceanus,S.A. de C.V.,1
8 GmbH & Co. KG Tsunami,,10936.6728,Company,Oceanus,Ges.m.b.H,1
8 Ltd. Liability Co,,6401.6728,Company,Oceanus,Limited,3
8 Ltd. Liability Co,,,Company,Oceanus,Limited,3
8 S.A. de C.V.,Biopharmaceuticals (recombinant antibodies and proteins),7985.6174,Company,Marebak,S.A. de C.V.,1
8 SE Marine life,Gloves and niche products,22166.6728,Company,Oceanus,SE,24
9 Charter Boat  Plc Overseas,Fish and fish products,36658.0122,Company,Marebak,PLC,1
9 GmbH & Co. KG Solutions,"Range of conveyors, fire valves, and other related parts and accessories",15307.4058,Company,Kondanovia,Ges.m.b.H,3
9 Shark S.A. de C.V. Brothers,"Pat-ang-geum (processed red bean paste), Yo-kan (red bean sweet jelly), Pat-juk (red bean sweet porridge), Pat for Bing-su (processed red bean paste for shaved ice bowls), A-dzu-ki (red bean with rice flour)",89559.5005,Company,Kondanovia,S.A. de C.V.,3
9 Swordfish Ltd Carriers,,,Company,Utoporiana,Limited,3
AB Limited Liability Company,,,Company,Coralmarica,AB,3
AB Limited Liability Company,,8674.2899,Company,Marebak,AB,3
Abbott and Sons,,,Beneficial Owner,ZH,Sons,0
Abbott Group,,,Beneficial Owner,ZH,Group,0
Abbott LLC,,,Company,ZH,Limited,0
Abbott LLC,,,Beneficial Owner,ZH,Limited,0
Abbott Ltd,,,Company Contacts,ZH,Limited,0
"Abbott, Barton and Lane",,,Beneficial Owner,ZH,,0
"Abbott, Garcia and Lowe",,,Beneficial Owner,ZH,,0
"Abbott, Guzman and Harper",,,Beneficial Owner,ZH,,0
"Abbott, Sullivan and Calderon",,,Beneficial Owner,ZH,,0
"Abbott, Williams and Dillon",,16349.9264,Company,ZH,,0
Abbott-Humphrey,,,Company Contacts,ZH,,0
Abbott-Richardson,,,Company Contacts,ZH,,0
Abbott-Singh,,,Beneficial Owner,ZH,,0
Abbott-Thompson,,,Company Contacts,ZH,,0
Acevedo and Sons,,,Beneficial Owner,ZH,Sons,0
Acevedo Group,,,Beneficial Owner,ZH,Group,2
Acevedo Inc,,,Beneficial Owner,ZH,Inc,0
Acevedo PLC,,,Beneficial Owner,ZH,PLC,0
"Acevedo, Turner and Kelly",,,Beneficial Owner,ZH,,0
Acevedo-Hall,Snapchat; Spectacles,4606513.673,Company,ZH,,0
Acevedo-Owens,,,Company Contacts,ZH,,0
Acevedo-Reid,,15098.2003,Company,ZH,,0
Acevedo-Weaver,,,Beneficial Owner,ZH,,0
Acosta and Sons,,,Company Contacts,ZH,Sons,0
Acosta and Sons,,,Company Contacts,ZH,Sons,0
Acosta Inc,"Specializes in the design and development of fashion-forward footwear, apparel, and handbags/accessories to its customers across the globe; Has decades of manufacturing experience and has excelled in every category of the footwear industry; Responsible for designing and producing a widespread assortment of fashion-forward footwear from women, kids, and men's for brands and private labels; Focuses on the core products comprising best sellers' styles year-round, along with a wide variety of fashion prevailing trends has allowed it to capitalize the market; Global reputation and presence in the international market derive from its ability to balance the dynamics of market trends with its strong fashion design principles; Manages all aspects of design; production, operations and distribution in-house so it can maintain the exclusivity of its designs and provide the best possible service to its customers",164758.8814,Company,ZH,Inc,0
Acosta Inc,,,Beneficial Owner,ZH,Inc,0
Acosta LLC,,,Company Contacts,ZH,Limited,1
Acosta Ltd,,4906.0501,Company,ZH,Limited,1
Acosta PLC,,,Beneficial Owner,ZH,PLC,0
"Acosta, Bailey and Armstrong",,,Company Contacts,ZH,,0
"Acosta, Galvan and Anderson",,,Beneficial Owner,ZH,,0
"Acosta, Giles and Pace",,,Company Contacts,ZH,,0
"Acosta, Proctor and Meyers","Frozen vegetables (sliced and diced); juices, jams and jellies; meats such as chicken, beef, pork, lamb; fish and seafood; and other deep freeze products as well as dairy products such as ice cream and yogurt",7226.2271,Company,ZH,,0
"Acosta, Rodriguez and Graves",,,Beneficial Owner,ZH,,0
"Acosta, Taylor and Collins",,,Beneficial Owner,ZH,,0
"Acosta, White and Patel",Industrial inorganic chemicals,26936.5372,Company,ZH,,0
Acosta-Black,,,Company Contacts,ZH,,0
Acosta-Escobar,,,Company Contacts,ZH,,0
Acosta-Fuller,,,Company Contacts,ZH,,0
Acosta-Gallegos,,,Beneficial Owner,ZH,,0
Acosta-Waters,,,Beneficial Owner,ZH,,0
Adair - SE Transport,Leather cases and bags,4810.3628,Company,Marebak,SE,1
Adair Corporation Marine biology,,8432.6478,Company,Marebak,Co,3
Adair Cruise ship GmbH Logistics,,,Company,Osterivaro,Ges.m.b.H,0
Adair Ltd. Liability Co,"Plastic electronic enclosures; Aftermarket automotive products including customizing and manufacturing key fobs, license plate frames, and trailer hitch covers",36766.6728,Company,Oceanus,Limited,1
Adair S.A. de C.V.,"Frozen cephalopod products (soft cuttlefish, squid and octopus)",33308.6865,Company,Mawazam,S.A. de C.V.,25
Adams and Sons,,,Company,ZH,Sons,2
Adams and Sons,,,Beneficial Owner,ZH,Sons,2
Adams and Sons,,,Beneficial Owner,ZH,Sons,2
Adams and Sons,,,Company Contacts,ZH,Sons,2
Adams Group,A range of fish and other related seafood products,9056.2418,Company,ZH,Group,1
Adams Group,,,Beneficial Owner,ZH,Group,1
Adams Group,,,Beneficial Owner,ZH,Group,1
Adams Group,,,Beneficial Owner,ZH,Group,1
Adams Group,,,Beneficial Owner,ZH,Group,1
Adams Group,,,Company Contacts,ZH,Group,1
Adams Group,,,Company Contacts,ZH,Group,1
Adams Group,,,Company Contacts,ZH,Group,1
Adams Group,,,Company Contacts,ZH,Group,1
Adams Inc,,,Beneficial Owner,ZH,Inc,0
Adams Inc,,,Beneficial Owner,ZH,Inc,0
Adams Inc,,,Beneficial Owner,ZH,Inc,0
Adams Inc,,,Company Contacts,ZH,Inc,0
Adams LLC,,,Company,ZH,Limited,2
Adams LLC,,,Beneficial Owner,ZH,Limited,2
Adams LLC,,,Beneficial Owner,ZH,Limited,2
Adams LLC,,,Beneficial Owner,ZH,Limited,2
Adams LLC,,,Company Contacts,ZH,Limited,2
Adams Ltd,,,Beneficial Owner,ZH,Limited,1
Adams Ltd,,,Beneficial Owner,ZH,Limited,1
Adams Ltd,,,Beneficial Owner,ZH,Limited,1
Adams Ltd,,,Company Contacts,ZH,Limited,1
Adams Ltd,,,Company Contacts,ZH,Limited,1
Adams Ltd,,,Company Contacts,ZH,Limited,1
Adams PLC,,,Beneficial Owner,ZH,PLC,1
Adams PLC,,,Beneficial Owner,ZH,PLC,1
Adams PLC,,,Beneficial Owner,ZH,PLC,1
Adams PLC,,,Beneficial Owner,ZH,PLC,1
Adams PLC,,,Beneficial Owner,ZH,PLC,1
Adams PLC,,,Company Contacts,ZH,PLC,1
Adams PLC,,,Company Contacts,ZH,PLC,1
Adams PLC,,,Company Contacts,ZH,PLC,1
"Adams, Benjamin and Hamilton",,,Company,ZH,,0
"Adams, Carson and Hughes",,,Beneficial Owner,ZH,,0
"Adams, Cohen and Ward",,,Beneficial Owner,ZH,,0
"Adams, Edwards and Brown",,,Company,ZH,,0
"Adams, Foster and Weber",,,Company,ZH,,0
"Adams, Gonzales and Munoz",,,Company Contacts,ZH,,0
"Adams, Hall and Johnson",,12596.6728,Company,ZH,,0
"Adams, Hanson and Figueroa",,,Beneficial Owner,ZH,,0
"Adams, Henderson and Schaefer",,,Beneficial Owner,ZH,,0
"Adams, Hicks and Powers",,,Beneficial Owner,ZH,,0
"Adams, Jones and Hughes",,,Beneficial Owner,ZH,,0
"Adams, Mercer and Massey",,32740.6303,Company,ZH,,0
"Adams, Moore and Brown",,,Company Contacts,ZH,,0
"Adams, Morales and Pham",,,Beneficial Owner,ZH,,0
"Adams, Nelson and Aguilar",,,Beneficial Owner,ZH,,0
"Adams, Pham and Hill",,,Beneficial Owner,ZH,,0
"Adams, Porter and White",,,Company Contacts,ZH,,0
"Adams, Riggs and Graham",,,Beneficial Owner,ZH,,0
"Adams, Roach and Hahn",,,Company Contacts,ZH,,0
"Adams, Roach and Lopez",,,Beneficial Owner,ZH,,0
"Adams, Walsh and Bond",,,Beneficial Owner,ZH,,0
"Adams, Weaver and Aguilar",,,Beneficial Owner,ZH,,0
"Adams, Williams and Peterson",,,Company Contacts,ZH,,0
Adams-Brown,,,Beneficial Owner,ZH,,0
Adams-Camacho,,,Company Contacts,ZH,,0
Adams-Deleon,,,Company Contacts,ZH,,0
Adams-Foster,,,Beneficial Owner,ZH,,0
Adams-Fuller,,,Beneficial Owner,ZH,,0
Adams-Gomez,,,Beneficial Owner,ZH,,0
Adams-Griffin,,,Beneficial Owner,ZH,,0
Adams-Henry,,,Company Contacts,ZH,,0
Adams-Hicks,Clothing and footwear,18266.6728,Company,ZH,,0
Adams-Jackson,,,Beneficial Owner,ZH,,0
Adams-Lopez,,,Beneficial Owner,ZH,,0
Adams-Mcdonald,,,Company Contacts,ZH,,0
Adams-Navarro,,,Company Contacts,ZH,,0
Adams-Oconnell,,,Company,ZH,,0
Adams-Owen,,,Beneficial Owner,ZH,,0
Adams-Parker,,,Beneficial Owner,ZH,,0
Adams-Patterson,,,Beneficial Owner,ZH,,0
Adams-Richardson,,,Company Contacts,ZH,,0
Adams-Schmitt,,,Company Contacts,ZH,,0
Adams-Vang,,,Beneficial Owner,ZH,,0
Adams-Wilson,,,Beneficial Owner,ZH,,2
Adams-Wright,,,Beneficial Owner,ZH,,0
Adkins Group,,,Beneficial Owner,ZH,Group,0
Adkins Group,,,Beneficial Owner,ZH,Group,0
Adkins Group,,,Company Contacts,ZH,Group,0
Adkins Inc,,,Company,ZH,Inc,0
Adkins LLC,Frozen seafood products,49824.378,Company,ZH,Limited,0
Adkins LLC,,,Company,ZH,Limited,0
Adkins LLC,,,Company Contacts,ZH,Limited,0
Adkins PLC,,,Company Contacts,ZH,PLC,0
"Adkins, Barnes and Graham",,,Beneficial Owner,ZH,,0
"Adkins, Garcia and Perkins","Hydraulic and thermal electric power, and distributes electric power to other electric companies through its electronic power lines and frequency transformer stations",8865949.835,Company,ZH,,0
"Adkins, Manning and Beard",,,Company,ZH,,0
"Adkins, Williamson and Daniels","Sails; for boats, sailboards or landcraft",286874436.2,Company,ZH,,0
Adkins-Glover,,,Beneficial Owner,ZH,,0
Adkins-Hartman,,,Beneficial Owner,ZH,,0
Adkins-Leach,,,Company Contacts,ZH,,0
Adkins-Poole,,,Company Contacts,ZH,,0
Adkins-Villanueva,Wire harnesses,37866.6728,Company,ZH,,0
Adriatic  Nautical CJSC Holdings,"Logistics services (first class consigned freight forwarding business act (by Ministry Of Land, Infrastructure, Transport and Tourism); type of facilities for transport: ocean voyage area of the business: general operating; cargo shipment (by sea); land transportation; customs clearing agent; warehousing; and marine / property insurance agent)",14181.4208,Company,Rio Isla,CJSC,1
Adriatic  Seabass LC Transportation,"Providing complete custom brokerage, freight forwarding, logistic service and product shipping solution for all over the world",17566.6728,Company,Oceanus,Limited,2
Adriatic Catch Ges.m.b.H. Forwading,Food,11277.1793,Company,Alverossia,Ges.m.b.H,2
Adriatic Catch Ges.m.b.H. Marine biology,Consumer goods,,Company,Isliandor,Ges.m.b.H,3
Adriatic Catch Ltd Transport,,,Company,Marebak,Limited,5
Adriatic Catch Ltd. Liability Co,Machine tools,20066.6728,Company,Oceanus,Limited,1
Adriatic Catch S.A. de C.V.,Technical testing and analysis,8869.44,Company,Puerto Sol,S.A. de C.V.,6
Adriatic Catch SRL Seal,Plastics engineering unit dedicated to the construction of turn key plants,54603.9287,Company,Puerto Sol,SRL,2
Adriatic Mackerel Ges.m.b.H. Family,,,Company,Sol y Oceana,Ges.m.b.H,1
Adriatic Mackerel Ges.m.b.H. Worldwide,Produces models and moulds and operates as a subcontractor of both laminate elements and complete boats,74266.1809,Company,Playa Solis,Ges.m.b.H,5
Adriatic Mackerel N.V. Transport,"Fish and seafood products Chilean clams, tunas, cockles, winkles, razors, stuffed squids, octopuses, mackerel filets, prawns, mussels, cods, crabs, caviars, oysters, and cuttlefishes; Spices and sauces spicy spices, non-spicy spices, aromatic herbs, seasonings, and sauce appetizers; Fruits and vegetables packaged asparaguses, sweet maizes, palm hearts, green peppers, truffles, mangoes, papayas, pineapples, and rambutans",113379.1323,Company,Nalakond,N.V.,1
Adriatic Mackerel Plc Marine ecology,,6966.6728,Company,Rivenisla,PLC,0
Adriatic Mackerel S.A. de C.V.,,,Company,Playa Solis,S.A. de C.V.,0
Adriatic Squid AS Holdings,Canned seafood products,16451.9034,Company,Nalakond,A/S,17
Adriatic Squid Corporation Buoy,,,Company,Oceanus,Co,1
Adriatic Squid Limited Liability Company Freight,"Fresh, cured, or frozen fish and seafoods",24066.6728,Company,Oceanus,Limited,1
Adriatic Squid Ltd. Liability Co,Footwear,22980.7769,Company,Marebak,Limited,5
Adriatic Squid Ltd. Liability Co,"Seafood products (including finfish, shellfish, and shrimp)",13766.6728,Company,Oceanus,Limited,5
Adriatic Squid SE Marine conservation,,,Company,Merigrad,SE,0
Adriatic Tuna GmbH & Co. KG,Integrated freight forwarding and warehouse operation,29366.6728,Company,Oceanus,Ges.m.b.H,1
Adriatic Tuna NV Cod,,,Company,Isliandor,N.V.,1
Adriatic Tuna Pic Express,,,Company,Faraluna,PLC,1
Adriatic Tuna Seabass BV Transit,Tuna and tuna petfood,91222.0779,Company,Mawazam,BV,4
Adriatic Tuna Shipyard GmbH United,,221337.9812,Company,Thessalandia,Ges.m.b.H,2
Agua Express Marine mist,,14466.6728,Company,Oceanus,,1
Agua Limited Liability Company Services,,10254.1095,Company,Brindisola,Limited,2
Agua Ltd. Corporation Carriers,,7973.9168,Company,Coral Solis,Co,1
Agua Ltd. Liability Co,,8931.7365,Company,Marebak,Limited,13
Agua Ltd. Liability Co,,8201.395,Company,Solovarossa,Limited,13
Agua N.V. Marine life,Large 2 pole turbogenerators,102092.7612,Company,Utoparadia,N.V.,16
Aguamarina Beach AB Industrial,"Cheese, olives, olive oil, pasta, pickled products, rice, seafood, soups, spices, tortellini and gnocchi, vinegar, coffee and desserts, as well as artichokes and hearts of palm, beverages, bread crumbs, Mediterranean specialties, and tomatoes",170666.6728,Company,Oceanus,AB,1
Aguamarina Jetty GmbH & Co. KG Logistics,,,Company,Vesperanda,Ges.m.b.H,1
Aguamarina Limited Liability Company,Fresh and frozen seafood,55045.4068,Company,Marebak,Limited,1
Aguamarina S.A. de C.V.,"Measuring, compounding, extruding, and pelletizing equipment",84857.8698,Company,Marebak,S.A. de C.V.,23
Aguilar and Sons,,,Beneficial Owner,ZH,Sons,1
Aguilar Group,,,Beneficial Owner,ZH,Group,2
Aguilar LLC,Motor vehicle parts and other related products,108190.6244,Company,ZH,Limited,1
Aguilar LLC,,,Beneficial Owner,ZH,Limited,1
Aguilar Ltd,,,Beneficial Owner,ZH,Limited,1
Aguilar Ltd,,,Beneficial Owner,ZH,Limited,1
"Aguilar, Chavez and Gomez",,,Beneficial Owner,ZH,,0
"Aguilar, Gentry and Rose",,,Company Contacts,ZH,,0
"Aguilar, Grant and Schneider",,,Beneficial Owner,ZH,,0
"Aguilar, Jones and Graham",,,Beneficial Owner,ZH,,0
"Aguilar, Joyce and Jimenez",,,Beneficial Owner,ZH,,0
"Aguilar, Perez and Greene",,,Beneficial Owner,ZH,,0
"Aguilar, Rose and Hamilton",,,Company Contacts,ZH,,0
"Aguilar, Shelton and Jackson",,,Beneficial Owner,ZH,,0
"Aguilar, Smith and Perez","Ice cream and frozen food (such as pastry, vegetables, fruit, fish and seafood, and ready meals)",339035.9385,Company,ZH,,0
"Aguilar, Ward and Bishop",,,Beneficial Owner,ZH,,0
"Aguilar, Welch and Carter",,,Company Contacts,ZH,,0
Aguilar-Brewer,,,Company Contacts,ZH,,0
Aguilar-Collins,,,Beneficial Owner,ZH,,0
Aguilar-Cortez,,12786.6728,Company,ZH,,0
Aguilar-Dixon,,,Beneficial Owner,ZH,,0
Aguilar-Foster,,,Beneficial Owner,ZH,,0
Aguilar-Hunter,,,Beneficial Owner,ZH,,0
Aguilar-Wilcox,,,Company Contacts,ZH,,0
Aguirre and Sons,,,Company Contacts,ZH,Sons,0
Aguirre Inc,,,Beneficial Owner,ZH,Inc,1
"Aguirre, Gilbert and Johnson",,,Beneficial Owner,ZH,,0
"Aguirre, Martin and Reyes",,,Company,ZH,,0
"Aguirre, Reed and Dixon",,,Beneficial Owner,ZH,,0
Aguirre-Arnold,,,Company Contacts,ZH,,0
Aguirre-Burns,,,Beneficial Owner,ZH,,0
Aguirre-Garcia,,,Company,ZH,,0
Aguirre-Kane,,,Beneficial Owner,ZH,,0
Aguirre-Maldonado,,,Beneficial Owner,ZH,,0
Aguirre-Morris,,,Beneficial Owner,ZH,,0
Aguirre-Reid,,,Beneficial Owner,ZH,,0
Albertine Rift  Company Enterprises,Footwear and other related products,,Company,Kethanor,Co,1
Albertine Rift  GmbH & Co. KG,,,Company,Oceanus,Ges.m.b.H,0
Albertine Rift  LLC Line,,5315.3246,Company,Marebak,Limited,3
Albertine Rift  Ltd. Corporation,,325666.6728,Company,Coralmarica,Co,1
Albertine Rift  NV Family,"Alaska Pollock, PC / AT Cod, Hake, Red fish / POP, Pink / Chum Salmon and Shellfish, and Sea Cucumber",9760.8727,Company,Marebak,N.V.,4
Alexander and Sons,,,Beneficial Owner,ZH,Sons,0
Alexander and Sons,,,Beneficial Owner,ZH,Sons,0
Alexander Group,,,Beneficial Owner,ZH,Group,1
Alexander Group,,,Beneficial Owner,ZH,Group,1
Alexander Group,,,Company Contacts,ZH,Group,1
Alexander Inc,,,Beneficial Owner,ZH,Inc,1
Alexander Inc,,,Beneficial Owner,ZH,Inc,1
Alexander Inc,,,Company Contacts,ZH,Inc,1
Alexander LLC,,,Company Contacts,ZH,Limited,2
Alexander Ltd,,8272.0006,Company,ZH,Limited,1
Alexander Ltd,,,Company Contacts,ZH,Limited,1
Alexander PLC,,,Beneficial Owner,ZH,PLC,1
"Alexander, Brewer and Hunter",,,Beneficial Owner,ZH,,0
"Alexander, Cook and Johnson",,,Company Contacts,ZH,,0
"Alexander, Dickerson and Kline",,,Company Contacts,ZH,,0
"Alexander, Freeman and Ross",,,Beneficial Owner,ZH,,0
"Alexander, Harvey and Koch",,,Company Contacts,ZH,,0
"Alexander, Hill and Ruiz",,,Company,ZH,,0
"Alexander, Houston and Allen",,,Company Contacts,ZH,,0
"Alexander, Kelley and Paul",,,Company,ZH,,0
"Alexander, Kemp and Smith",,,Beneficial Owner,ZH,,0
"Alexander, Kennedy and Wood",,,Beneficial Owner,ZH,,0
"Alexander, Martinez and Fisher",,,Beneficial Owner,ZH,,0
"Alexander, Schroeder and Gay",,4746.6728,Company,ZH,,0
"Alexander, Simpson and Murphy",,,Company,ZH,,0
"Alexander, Stone and Lowe",,,Company Contacts,ZH,,0
"Alexander, Sullivan and Grant","Plant, machinery and related parts for the steel and nonferrous industry, as well as the supply of eco-friendly equipment",67459.9279,Company,ZH,,0
"Alexander, Turner and Chavez",,,Beneficial Owner,ZH,,0
Alexander-Banks,,,Beneficial Owner,ZH,,0
Alexander-Barnett,,10526.9848,Company,ZH,,0
Alexander-Burns,,,Beneficial Owner,ZH,,0
Alexander-Calhoun,,,Beneficial Owner,ZH,,0
Alexander-Chavez,,,Beneficial Owner,ZH,,0
Alexander-French,,,Company Contacts,ZH,,0
Alexander-Griffin,,,Beneficial Owner,ZH,,0
Alexander-Howell,,,Beneficial Owner,ZH,,0
Alexander-Jackson,,,Company,ZH,,0
Alexander-Lee,,,Company Contacts,ZH,,0
Alexander-Mills,,,Beneficial Owner,ZH,,0
Alexander-Perry,,,Beneficial Owner,ZH,,0
Alexander-Smith,,,Beneficial Owner,ZH,,1
Ali Ltd,,,Company Contacts,ZH,Limited,1
Ali Ltd,,,Company Contacts,ZH,Limited,1
"Ali, Barber and French",Wood decorative materials,15535.1594,Company,ZH,,0
"Ali, Castro and Cruz","Of transformers, including distribution, power, furnace, rectifier, traction power, and locomotive transformers to power utilities, steel mills, cement plants, petro chemical complexes, fertilizer plants, and independent power plants; and static energy meters and metering solutions that support communication through various media for use in residential, commercial, industrial, and special purpose applications",35469.216,Company,ZH,,0
"Ali, Collins and Cook",,,Beneficial Owner,ZH,,0
"Ali, Cook and Oconnor",,5396.6728,Company,ZH,,0
"Ali, Miller and Francis",,,Beneficial Owner,ZH,,0
"Ali, White and Adkins",,,Beneficial Owner,ZH,,0
Ali-Hernandez,,,Beneficial Owner,ZH,,0
Allen and Sons,,,Company,ZH,Sons,2
Allen and Sons,,,Company,ZH,Sons,2
Allen and Sons,,,Beneficial Owner,ZH,Sons,2
Allen and Sons,,,Beneficial Owner,ZH,Sons,2
Allen and Sons,,,Beneficial Owner,ZH,Sons,2
Allen and Sons,,,Beneficial Owner,ZH,Sons,2
Allen Group,,,Beneficial Owner,ZH,Group,3
Allen Group,,,Beneficial Owner,ZH,Group,3
Allen Group,,,Beneficial Owner,ZH,Group,3
Allen Group,,,Company Contacts,ZH,Group,3
Allen Inc,,11636.8452,Company,ZH,Inc,0
Allen Inc,,,Beneficial Owner,ZH,Inc,0
Allen Inc,,,Beneficial Owner,ZH,Inc,0
Allen Inc,,,Beneficial Owner,ZH,Inc,0
Allen Inc,,,Company Contacts,ZH,Inc,0
Allen Inc,,,Company Contacts,ZH,Inc,0
Allen LLC,,,Beneficial Owner,ZH,Limited,1
Allen LLC,,,Beneficial Owner,ZH,Limited,1
Allen LLC,,,Company Contacts,ZH,Limited,1
Allen LLC,,,Company Contacts,ZH,Limited,1
Allen LLC,,,Company Contacts,ZH,Limited,1
Allen Ltd,Fresh tuna; Sea bass; Yellowfin tuna,242308.1819,Company,ZH,Limited,4
Allen Ltd,,,Beneficial Owner,ZH,Limited,4
Allen Ltd,,,Company Contacts,ZH,Limited,4
Allen Ltd,,,Company Contacts,ZH,Limited,4
Allen PLC,Fish and seafood products,61582.3234,Company,ZH,PLC,2
Allen PLC,Plastics materials and resins,25866.6728,Company,ZH,PLC,2
Allen PLC,,,Beneficial Owner,ZH,PLC,2
Allen PLC,,,Beneficial Owner,ZH,PLC,2
Allen PLC,,,Company Contacts,ZH,PLC,2
Allen PLC,,,Company Contacts,ZH,PLC,2
Allen PLC,,,Company Contacts,ZH,PLC,2
"Allen, Anderson and Huerta",,,Beneficial Owner,ZH,,0
"Allen, Barber and Walters",,,Beneficial Owner,ZH,,0
"Allen, Clark and Rogers",,,Company Contacts,ZH,,0
"Allen, Crawford and Byrd",,,Beneficial Owner,ZH,,0
"Allen, Duarte and Brennan",,,Beneficial Owner,ZH,,0
"Allen, Gilbert and Kelly",,,Beneficial Owner,ZH,,0
"Allen, Green and Andrews",,,Beneficial Owner,ZH,,0
"Allen, Gregory and Walker",,,Company Contacts,ZH,,0
"Allen, Hansen and Smith",,,Company Contacts,ZH,,0
"Allen, Holt and West",,,Beneficial Owner,ZH,,0
"Allen, Keller and Sosa",,,Beneficial Owner,ZH,,0
"Allen, Klein and Brooks",,,Company Contacts,ZH,,0
"Allen, Lang and Richardson",,,Company,ZH,,0
"Allen, Leonard and Anderson",,,Company Contacts,ZH,,0
"Allen, Mays and Collins",,,Beneficial Owner,ZH,,0
"Allen, Miller and Armstrong",,,Beneficial Owner,ZH,,0
"Allen, Miller and Webster",,,Beneficial Owner,ZH,,0
"Allen, Mitchell and Nelson",,,Beneficial Owner,ZH,,0
"Allen, Munoz and Barrett",,,Beneficial Owner,ZH,,0
"Allen, Nguyen and Shaw",,,Beneficial Owner,ZH,,0
"Allen, Patel and Miller",,,Company Contacts,ZH,,0
"Allen, Patterson and Dudley",,,Beneficial Owner,ZH,,0
"Allen, Phillips and Wilkins",,,Beneficial Owner,ZH,,0
"Allen, Ramirez and Butler",,,Beneficial Owner,ZH,,0
"Allen, Simon and Valenzuela",,,Beneficial Owner,ZH,,0
"Allen, Thomas and Jackson","Vehicles; Engines, gearboxes, and other parts",39666.6728,Company,ZH,,0
"Allen, Thomas and Rodriguez",,,Company Contacts,ZH,,0
"Allen, Todd and Marsh",,,Beneficial Owner,ZH,,0
"Allen, Vargas and Martinez",,,Beneficial Owner,ZH,,0
"Allen, Wiley and Mitchell",,,Beneficial Owner,ZH,,0
"Allen, Young and Moreno",,,Beneficial Owner,ZH,,0
Allen-Brown,Plastic materials and resins,832981.4491,Company,ZH,,0
Allen-Bryant,,,Beneficial Owner,ZH,,0
Allen-Chavez,,,Beneficial Owner,ZH,,1
Allen-Davis,,,Company Contacts,ZH,,0
Allen-Deleon,,,Beneficial Owner,ZH,,0
