id,product_services,revenue_omu,type,country,company_type
Abbott and Sons,,,Beneficial Owner,ZH,Sons
Abbott Group,,,Beneficial Owner,ZH,Group
Abbott LLC,,,Company,ZH,Limited
Abbott LLC,,,Beneficial Owner,ZH,Limited
Abbott Ltd,,,Company Contacts,ZH,Limited
"Abbott, Barton and Lane",,,Beneficial Owner,ZH,
"Abbott, Garcia and Lowe",,,Beneficial Owner,ZH,
"Abbott, Guzman and Harper",,,Beneficial Owner,ZH,
"Abbott, Sullivan and Calderon",,,Beneficial Owner,ZH,
"Abbott, Williams and Dillon",,16349.9264,Company,ZH,
Abbott-Humphrey,,,Company Contacts,ZH,
Abbott-Richardson,,,Company Contacts,ZH,
Abbott-Singh,,,Beneficial Owner,ZH,
Abbott-Thompson,,,Company Contacts,ZH,
Acevedo and Sons,,,Beneficial Owner,ZH,Sons
Acevedo Group,,,Beneficial Owner,ZH,Group
Acevedo Inc,,,Beneficial Owner,ZH,Inc
Acevedo PLC,,,Beneficial Owner,ZH,PLC
"Acevedo, Turner and Kelly",,,Beneficial Owner,ZH,
Acevedo-Hall,Snapchat; Spectacles,4606513.673,Company,ZH,
Acevedo-Owens,,,Company Contacts,ZH,
Acevedo-Reid,,15098.2003,Company,ZH,
Acevedo-Weaver,,,Beneficial Owner,ZH,
Acosta and Sons,,,Company Contacts,ZH,Sons
Acosta and Sons,,,Company Contacts,ZH,Sons
Acosta Inc,"Specializes in the design and development of fashion-forward footwear, apparel, and handbags/accessories to its customers across the globe; Has decades of manufacturing experience and has excelled in every category of the footwear industry; Responsible for designing and producing a widespread assortment of fashion-forward footwear from women, kids, and men's for brands and private labels; Focuses on the core products comprising best sellers' styles year-round, along with a wide variety of fashion prevailing trends has allowed it to capitalize the market; Global reputation and presence in the international market derive from its ability to balance the dynamics of market trends with its strong fashion design principles; Manages all aspects of design; production, operations and distribution in-house so it can maintain the exclusivity of its designs and provide the best possible service to its customers",164758.8814,Company,ZH,Inc
Acosta Inc,,,Beneficial Owner,ZH,Inc
Acosta LLC,,,Company Contacts,ZH,Limited
Acosta Ltd,,4906.0501,Company,ZH,Limited
Acosta PLC,,,Beneficial Owner,ZH,PLC
"Acosta, Bailey and Armstrong",,,Company Contacts,ZH,
"Acosta, Galvan and Anderson",,,Beneficial Owner,ZH,
"Acosta, Giles and Pace",,,Company Contacts,ZH,
"Acosta, Proctor and Meyers","Frozen vegetables (sliced and diced); juices, jams and jellies; meats such as chicken, beef, pork, lamb; fish and seafood; and other deep freeze products as well as dairy products such as ice cream and yogurt",7226.2271,Company,ZH,
"Acosta, Rodriguez and Graves",,,Beneficial Owner,ZH,
"Acosta, Taylor and Collins",,,Beneficial Owner,ZH,
"Acosta, White and Patel",Industrial inorganic chemicals,26936.5372,Company,ZH,
Acosta-Black,,,Company Contacts,ZH,
Acosta-Escobar,,,Company Contacts,ZH,
Acosta-Fuller,,,Company Contacts,ZH,
Acosta-Gallegos,,,Beneficial Owner,ZH,
Acosta-Waters,,,Beneficial Owner,ZH,
Adair - SE Transport,Leather cases and bags,4810.3628,Company,Marebak,SE
Adair Corporation Marine biology,,8432.6478,Company,Marebak,Co
Adair Cruise ship GmbH Logistics,,,Company,Osterivaro,Ges.m.b.H
Adair Ltd. Liability Co,"Plastic electronic enclosures; Aftermarket automotive products including customizing and manufacturing key fobs, license plate frames, and trailer hitch covers",36766.6728,Company,Oceanus,Limited
Adair S.A. de C.V.,"Frozen cephalopod products (soft cuttlefish, squid and octopus)",33308.6865,Company,Mawazam,S.A. de C.V.
Adams and Sons,,,Company,ZH,Sons
Adams and Sons,,,Beneficial Owner,ZH,Sons
Adams and Sons,,,Beneficial Owner,ZH,Sons
Adams and Sons,,,Company Contacts,ZH,Sons
Adams Group,A range of fish and other related seafood products,9056.2418,Company,ZH,Group
Adams Group,,,Beneficial Owner,ZH,Group
Adams Group,,,Beneficial Owner,ZH,Group
Adams Group,,,Beneficial Owner,ZH,Group
Adams Group,,,Beneficial Owner,ZH,Group
Adams Group,,,Company Contacts,ZH,Group
Adams Group,,,Company Contacts,ZH,Group
Adams Group,,,Company Contacts,ZH,Group
Adams Group,,,Company Contacts,ZH,Group
Adams Inc,,,Beneficial Owner,ZH,Inc
Adams Inc,,,Beneficial Owner,ZH,Inc
Adams Inc,,,Beneficial Owner,ZH,Inc
Adams Inc,,,Company Contacts,ZH,Inc
Adams LLC,,,Company,ZH,Limited
Adams LLC,,,Beneficial Owner,ZH,Limited
Adams LLC,,,Beneficial Owner,ZH,Limited
Adams LLC,,,Beneficial Owner,ZH,Limited
Adams LLC,,,Company Contacts,ZH,Limited
Adams Ltd,,,Beneficial Owner,ZH,Limited
Adams Ltd,,,Beneficial Owner,ZH,Limited
Adams Ltd,,,Beneficial Owner,ZH,Limited
Adams Ltd,,,Company Contacts,ZH,Limited
Adams Ltd,,,Company Contacts,ZH,Limited
Adams Ltd,,,Company Contacts,ZH,Limited
Adams PLC,,,Beneficial Owner,ZH,PLC
Adams PLC,,,Beneficial Owner,ZH,PLC
Adams PLC,,,Beneficial Owner,ZH,PLC
Adams PLC,,,Beneficial Owner,ZH,PLC
Adams PLC,,,Beneficial Owner,ZH,PLC
Adams PLC,,,Company Contacts,ZH,PLC
Adams PLC,,,Company Contacts,ZH,PLC
Adams PLC,,,Company Contacts,ZH,PLC
"Adams, Benjamin and Hamilton",,,Company,ZH,
"Adams, Carson and Hughes",,,Beneficial Owner,ZH,
"Adams, Cohen and Ward",,,Beneficial Owner,ZH,
"Adams, Edwards and Brown",,,Company,ZH,
"Adams, Foster and Weber",,,Company,ZH,
"Adams, Gonzales and Munoz",,,Company Contacts,ZH,
"Adams, Hall and Johnson",,12596.6728,Company,ZH,
"Adams, Hanson and Figueroa",,,Beneficial Owner,ZH,
"Adams, Henderson and Schaefer",,,Beneficial Owner,ZH,
"Adams, Hicks and Powers",,,Beneficial Owner,ZH,
"Adams, Jones and Hughes",,,Beneficial Owner,ZH,
"Adams, Mercer and Massey",,32740.6303,Company,ZH,
"Adams, Moore and Brown",,,Company Contacts,ZH,
"Adams, Morales and Pham",,,Beneficial Owner,ZH,
"Adams, Nelson and Aguilar",,,Beneficial Owner,ZH,
"Adams, Pham and Hill",,,Beneficial Owner,ZH,
"Adams, Porter and White",,,Company Contacts,ZH,
"Adams, Riggs and Graham",,,Beneficial Owner,ZH,
"Adams, Roach and Hahn",,,Company Contacts,ZH,
"Adams, Roach and Lopez",,,Beneficial Owner,ZH,
"Adams, Walsh and Bond",,,Beneficial Owner,ZH,
"Adams, Weaver and Aguilar",,,Beneficial Owner,ZH,
"Adams, Williams and Peterson",,,Company Contacts,ZH,
Adams-Brown,,,Beneficial Owner,ZH,
Adams-Camacho,,,Company Contacts,ZH,
Adams-Deleon,,,Company Contacts,ZH,
Adams-Foster,,,Beneficial Owner,ZH,
Adams-Fuller,,,Beneficial Owner,ZH,
Adams-Gomez,,,Beneficial Owner,ZH,
Adams-Griffin,,,Beneficial Owner,ZH,
Adams-Henry,,,Company Contacts,ZH,
Adams-Hicks,Clothing and footwear,18266.6728,Company,ZH,
Adams-Jackson,,,Beneficial Owner,ZH,
Adams-Lopez,,,Beneficial Owner,ZH,
Adams-Mcdonald,,,Company Contacts,ZH,
Adams-Navarro,,,Company Contacts,ZH,
Adams-Oconnell,,,Company,ZH,
Adams-Owen,,,Beneficial Owner,ZH,
Adams-Parker,,,Beneficial Owner,ZH,
Adams-Patterson,,,Beneficial Owner,ZH,
Adams-Richardson,,,Company Contacts,ZH,
Adams-Schmitt,,,Company Contacts,ZH,
Adams-Vang,,,Beneficial Owner,ZH,
Adams-Wilson,,,Beneficial Owner,ZH,
Adams-Wright,,,Beneficial Owner,ZH,
Adkins Group,,,Beneficial Owner,ZH,Group
Adkins Group,,,Beneficial Owner,ZH,Group
Adkins Group,,,Company Contacts,ZH,Group
Adkins Inc,,,Company,ZH,Inc
Adkins LLC,Frozen seafood products,49824.378,Company,ZH,Limited
Adkins LLC,,,Company,ZH,Limited
Adkins LLC,,,Company Contacts,ZH,Limited
Adkins PLC,,,Company Contacts,ZH,PLC
"Adkins, Barnes and Graham",,,Beneficial Owner,ZH,
"Adkins, Garcia and Perkins","Hydraulic and thermal electric power, and distributes electric power to other electric companies through its electronic power lines and frequency transformer stations",8865949.835,Company,ZH,
"Adkins, Manning and Beard",,,Company,ZH,
"Adkins, Williamson and Daniels","Sails; for boats, sailboards or landcraft",286874436.2,Company,ZH,
Adkins-Glover,,,Beneficial Owner,ZH,
Adkins-Hartman,,,Beneficial Owner,ZH,
Adkins-Leach,,,Company Contacts,ZH,
Adkins-Poole,,,Company Contacts,ZH,
Adkins-Villanueva,Wire harnesses,37866.6728,Company,ZH,
Adriatic  Nautical CJSC Holdings,"Logistics services (first class consigned freight forwarding business act (by Ministry Of Land, Infrastructure, Transport and Tourism); type of facilities for transport: ocean voyage area of the business: general operating; cargo shipment (by sea); land transportation; customs clearing agent; warehousing; and marine / property insurance agent)",14181.4208,Company,Rio Isla,CJSC
Adriatic  Seabass LC Transportation,"Providing complete custom brokerage, freight forwarding, logistic service and product shipping solution for all over the world",17566.6728,Company,Oceanus,Limited
Adriatic Catch Ges.m.b.H. Forwading,Food,11277.1793,Company,Alverossia,Ges.m.b.H
Adriatic Catch Ges.m.b.H. Marine biology,Consumer goods,,Company,Isliandor,Ges.m.b.H
Adriatic Catch Ltd Transport,,,Company,Marebak,Limited
Adriatic Catch Ltd. Liability Co,Machine tools,20066.6728,Company,Oceanus,Limited
Adriatic Catch S.A. de C.V.,Technical testing and analysis,8869.44,Company,Puerto Sol,S.A. de C.V.
Adriatic Catch SRL Seal,Plastics engineering unit dedicated to the construction of turn key plants,54603.9287,Company,Puerto Sol,SRL
Adriatic Mackerel Ges.m.b.H. Family,,,Company,Sol y Oceana,Ges.m.b.H
Adriatic Mackerel Ges.m.b.H. Worldwide,Produces models and moulds and operates as a subcontractor of both laminate elements and complete boats,74266.1809,Company,Playa Solis,Ges.m.b.H
Adriatic Mackerel N.V. Transport,"Fish and seafood products Chilean clams, tunas, cockles, winkles, razors, stuffed squids, octopuses, mackerel filets, prawns, mussels, cods, crabs, caviars, oysters, and cuttlefishes; Spices and sauces spicy spices, non-spicy spices, aromatic herbs, seasonings, and sauce appetizers; Fruits and vegetables packaged asparaguses, sweet maizes, palm hearts, green peppers, truffles, mangoes, papayas, pineapples, and rambutans",113379.1323,Company,Nalakond,N.V.
Adriatic Mackerel Plc Marine ecology,,6966.6728,Company,Rivenisla,PLC
Adriatic Mackerel S.A. de C.V.,,,Company,Playa Solis,S.A. de C.V.
Adriatic Squid AS Holdings,Canned seafood products,16451.9034,Company,Nalakond,A/S
Adriatic Squid Corporation Buoy,,,Company,Oceanus,Co
Adriatic Squid Limited Liability Company Freight,"Fresh, cured, or frozen fish and seafoods",24066.6728,Company,Oceanus,Limited
Adriatic Squid Ltd. Liability Co,Footwear,22980.7769,Company,Marebak,Limited
Adriatic Squid Ltd. Liability Co,"Seafood products (including finfish, shellfish, and shrimp)",13766.6728,Company,Oceanus,Limited
Adriatic Squid SE Marine conservation,,,Company,Merigrad,SE
Adriatic Tuna GmbH & Co. KG,Integrated freight forwarding and warehouse operation,29366.6728,Company,Oceanus,Ges.m.b.H
Adriatic Tuna NV Cod,,,Company,Isliandor,N.V.
Adriatic Tuna Pic Express,,,Company,Faraluna,PLC
Adriatic Tuna Seabass BV Transit,Tuna and tuna petfood,91222.0779,Company,Mawazam,BV
Adriatic Tuna Shipyard GmbH United,,221337.9812,Company,Thessalandia,Ges.m.b.H
Agua Express Marine mist,,14466.6728,Company,Oceanus,
Agua Limited Liability Company Services,,10254.1095,Company,Brindisola,Limited
Agua Ltd. Corporation Carriers,,7973.9168,Company,Coral Solis,Co
Agua Ltd. Liability Co,,8931.7365,Company,Marebak,Limited
Agua Ltd. Liability Co,,8201.395,Company,Solovarossa,Limited
Agua N.V. Marine life,Large 2 pole turbogenerators,102092.7612,Company,Utoparadia,N.V.
Aguamarina Beach AB Industrial,"Cheese, olives, olive oil, pasta, pickled products, rice, seafood, soups, spices, tortellini and gnocchi, vinegar, coffee and desserts, as well as artichokes and hearts of palm, beverages, bread crumbs, Mediterranean specialties, and tomatoes",170666.6728,Company,Oceanus,AB
Aguamarina Jetty GmbH & Co. KG Logistics,,,Company,Vesperanda,Ges.m.b.H
Aguamarina Limited Liability Company,Fresh and frozen seafood,55045.4068,Company,Marebak,Limited
Aguamarina S.A. de C.V.,"Measuring, compounding, extruding, and pelletizing equipment",84857.8698,Company,Marebak,S.A. de C.V.
Aguilar and Sons,,,Beneficial Owner,ZH,Sons
Aguilar Group,,,Beneficial Owner,ZH,Group
Aguilar LLC,Motor vehicle parts and other related products,108190.6244,Company,ZH,Limited
Aguilar LLC,,,Beneficial Owner,ZH,Limited
Aguilar Ltd,,,Beneficial Owner,ZH,Limited
Aguilar Ltd,,,Beneficial Owner,ZH,Limited
"Aguilar, Chavez and Gomez",,,Beneficial Owner,ZH,
"Aguilar, Gentry and Rose",,,Company Contacts,ZH,
"Aguilar, Grant and Schneider",,,Beneficial Owner,ZH,
"Aguilar, Jones and Graham",,,Beneficial Owner,ZH,
"Aguilar, Joyce and Jimenez",,,Beneficial Owner,ZH,
"Aguilar, Perez and Greene",,,Beneficial Owner,ZH,
"Aguilar, Rose and Hamilton",,,Company Contacts,ZH,
"Aguilar, Shelton and Jackson",,,Beneficial Owner,ZH,
"Aguilar, Smith and Perez","Ice cream and frozen food (such as pastry, vegetables, fruit, fish and seafood, and ready meals)",339035.9385,Company,ZH,
"Aguilar, Ward and Bishop",,,Beneficial Owner,ZH,
"Aguilar, Welch and Carter",,,Company Contacts,ZH,
Aguilar-Brewer,,,Company Contacts,ZH,
Aguilar-Collins,,,Beneficial Owner,ZH,
Aguilar-Cortez,,12786.6728,Company,ZH,
Aguilar-Dixon,,,Beneficial Owner,ZH,
Aguilar-Foster,,,Beneficial Owner,ZH,
Aguilar-Hunter,,,Beneficial Owner,ZH,
Aguilar-Wilcox,,,Company Contacts,ZH,
Aguirre and Sons,,,Company Contacts,ZH,Sons
Aguirre Inc,,,Beneficial Owner,ZH,Inc
"Aguirre, Gilbert and Johnson",,,Beneficial Owner,ZH,
"Aguirre, Martin and Reyes",,,Company,ZH,
"Aguirre, Reed and Dixon",,,Beneficial Owner,ZH,
Aguirre-Arnold,,,Company Contacts,ZH,
Aguirre-Burns,,,Beneficial Owner,ZH,
Aguirre-Garcia,,,Company,ZH,
Aguirre-Kane,,,Beneficial Owner,ZH,
Aguirre-Maldonado,,,Beneficial Owner,ZH,
Aguirre-Morris,,,Beneficial Owner,ZH,
Aguirre-Reid,,,Beneficial Owner,ZH,
Albertine Rift  Company Enterprises,Footwear and other related products,,Company,Kethanor,Co
Albertine Rift  GmbH & Co. KG,,,Company,Oceanus,Ges.m.b.H
Albertine Rift  LLC Line,,5315.3246,Company,Marebak,Limited
Albertine Rift  Ltd. Corporation,,325666.6728,Company,Coralmarica,Co
Albertine Rift  NV Family,"Alaska Pollock, PC / AT Cod, Hake, Red fish / POP, Pink / Chum Salmon and Shellfish, and Sea Cucumber",9760.8727,Company,Marebak,N.V.
Alexander and Sons,,,Beneficial Owner,ZH,Sons
Alexander and Sons,,,Beneficial Owner,ZH,Sons
Alexander Group,,,Beneficial Owner,ZH,Group
Alexander Group,,,Beneficial Owner,ZH,Group
Alexander Group,,,Company Contacts,ZH,Group
Alexander Inc,,,Beneficial Owner,ZH,Inc
Alexander Inc,,,Beneficial Owner,ZH,Inc
Alexander Inc,,,Company Contacts,ZH,Inc
Alexander LLC,,,Company Contacts,ZH,Limited
Alexander Ltd,,8272.0006,Company,ZH,Limited
Alexander Ltd,,,Company Contacts,ZH,Limited
Alexander PLC,,,Beneficial Owner,ZH,PLC
"Alexander, Brewer and Hunter",,,Beneficial Owner,ZH,
"Alexander, Cook and Johnson",,,Company Contacts,ZH,
"Alexander, Dickerson and Kline",,,Company Contacts,ZH,
"Alexander, Freeman and Ross",,,Beneficial Owner,ZH,
"Alexander, Harvey and Koch",,,Company Contacts,ZH,
"Alexander, Hill and Ruiz",,,Company,ZH,
"Alexander, Houston and Allen",,,Company Contacts,ZH,
"Alexander, Kelley and Paul",,,Company,ZH,
"Alexander, Kemp and Smith",,,Beneficial Owner,ZH,
"Alexander, Kennedy and Wood",,,Beneficial Owner,ZH,
"Alexander, Martinez and Fisher",,,Beneficial Owner,ZH,
"Alexander, Schroeder and Gay",,4746.6728,Company,ZH,
"Alexander, Simpson and Murphy",,,Company,ZH,
"Alexander, Stone and Lowe",,,Company Contacts,ZH,
"Alexander, Sullivan and Grant","Plant, machinery and related parts for the steel and nonferrous industry, as well as the supply of eco-friendly equipment",67459.9279,Company,ZH,
"Alexander, Turner and Chavez",,,Beneficial Owner,ZH,
Alexander-Banks,,,Beneficial Owner,ZH,
Alexander-Barnett,,10526.9848,Company,ZH,
Alexander-Burns,,,Beneficial Owner,ZH,
Alexander-Calhoun,,,Beneficial Owner,ZH,
Alexander-Chavez,,,Beneficial Owner,ZH,
Alexander-French,,,Company Contacts,ZH,
Alexander-Griffin,,,Beneficial Owner,ZH,
Alexander-Howell,,,Beneficial Owner,ZH,
Alexander-Jackson,,,Company,ZH,
Alexander-Lee,,,Company Contacts,ZH,
Alexander-Mills,,,Beneficial Owner,ZH,
Alexander-Perry,,,Beneficial Owner,ZH,
Alexander-Smith,,,Beneficial Owner,ZH,
Ali Ltd,,,Company Contacts,ZH,Limited
Ali Ltd,,,Company Contacts,ZH,Limited
"Ali, Barber and French",Wood decorative materials,15535.1594,Company,ZH,
"Ali, Castro and Cruz","Of transformers, including distribution, power, furnace, rectifier, traction power, and locomotive transformers to power utilities, steel mills, cement plants, petro chemical complexes, fertilizer plants, and independent power plants; and static energy meters and metering solutions that support communication through various media for use in residential, commercial, industrial, and special purpose applications",35469.216,Company,ZH,
"Ali, Collins and Cook",,,Beneficial Owner,ZH,
"Ali, Cook and Oconnor",,5396.6728,Company,ZH,
"Ali, Miller and Francis",,,Beneficial Owner,ZH,
"Ali, White and Adkins",,,Beneficial Owner,ZH,
Ali-Hernandez,,,Beneficial Owner,ZH,
Allen and Sons,,,Company,ZH,Sons
Allen and Sons,,,Company,ZH,Sons
Allen and Sons,,,Beneficial Owner,ZH,Sons
Allen and Sons,,,Beneficial Owner,ZH,Sons
Allen and Sons,,,Beneficial Owner,ZH,Sons
Allen and Sons,,,Beneficial Owner,ZH,Sons
Allen Group,,,Beneficial Owner,ZH,Group
Allen Group,,,Beneficial Owner,ZH,Group
Allen Group,,,Beneficial Owner,ZH,Group
Allen Group,,,Company Contacts,ZH,Group
Allen Inc,,11636.8452,Company,ZH,Inc
Allen Inc,,,Beneficial Owner,ZH,Inc
Allen Inc,,,Beneficial Owner,ZH,Inc
Allen Inc,,,Beneficial Owner,ZH,Inc
Allen Inc,,,Company Contacts,ZH,Inc
Allen Inc,,,Company Contacts,ZH,Inc
Allen LLC,,,Beneficial Owner,ZH,Limited
Allen LLC,,,Beneficial Owner,ZH,Limited
Allen LLC,,,Company Contacts,ZH,Limited
Allen LLC,,,Company Contacts,ZH,Limited
Allen LLC,,,Company Contacts,ZH,Limited
Allen Ltd,Fresh tuna; Sea bass; Yellowfin tuna,242308.1819,Company,ZH,Limited
Allen Ltd,,,Beneficial Owner,ZH,Limited
Allen Ltd,,,Company Contacts,ZH,Limited
Allen Ltd,,,Company Contacts,ZH,Limited
Allen PLC,Fish and seafood products,61582.3234,Company,ZH,PLC
Allen PLC,Plastics materials and resins,25866.6728,Company,ZH,PLC
Allen PLC,,,Beneficial Owner,ZH,PLC
Allen PLC,,,Beneficial Owner,ZH,PLC
Allen PLC,,,Company Contacts,ZH,PLC
Allen PLC,,,Company Contacts,ZH,PLC
Allen PLC,,,Company Contacts,ZH,PLC
"Allen, Anderson and Huerta",,,Beneficial Owner,ZH,
"Allen, Barber and Walters",,,Beneficial Owner,ZH,
"Allen, Clark and Rogers",,,Company Contacts,ZH,
"Allen, Crawford and Byrd",,,Beneficial Owner,ZH,
"Allen, Duarte and Brennan",,,Beneficial Owner,ZH,
"Allen, Gilbert and Kelly",,,Beneficial Owner,ZH,
"Allen, Green and Andrews",,,Beneficial Owner,ZH,
"Allen, Gregory and Walker",,,Company Contacts,ZH,
"Allen, Hansen and Smith",,,Company Contacts,ZH,
"Allen, Holt and West",,,Beneficial Owner,ZH,
"Allen, Keller and Sosa",,,Beneficial Owner,ZH,
"Allen, Klein and Brooks",,,Company Contacts,ZH,
"Allen, Lang and Richardson",,,Company,ZH,
"Allen, Leonard and Anderson",,,Company Contacts,ZH,
"Allen, Mays and Collins",,,Beneficial Owner,ZH,
"Allen, Miller and Armstrong",,,Beneficial Owner,ZH,
"Allen, Miller and Webster",,,Beneficial Owner,ZH,
"Allen, Mitchell and Nelson",,,Beneficial Owner,ZH,
"Allen, Munoz and Barrett",,,Beneficial Owner,ZH,
"Allen, Nguyen and Shaw",,,Beneficial Owner,ZH,
"Allen, Patel and Miller",,,Company Contacts,ZH,
"Allen, Patterson and Dudley",,,Beneficial Owner,ZH,
"Allen, Phillips and Wilkins",,,Beneficial Owner,ZH,
"Allen, Ramirez and Butler",,,Beneficial Owner,ZH,
"Allen, Simon and Valenzuela",,,Beneficial Owner,ZH,
"Allen, Thomas and Jackson","Vehicles; Engines, gearboxes, and other parts",39666.6728,Company,ZH,
"Allen, Thomas and Rodriguez",,,Company Contacts,ZH,
"Allen, Todd and Marsh",,,Beneficial Owner,ZH,
"Allen, Vargas and Martinez",,,Beneficial Owner,ZH,
"Allen, Wiley and Mitchell",,,Beneficial Owner,ZH,
"Allen, Young and Moreno",,,Beneficial Owner,ZH,
Allen-Brown,Plastic materials and resins,832981.4491,Company,ZH,
Allen-Bryant,,,Beneficial Owner,ZH,
Allen-Chavez,,,Beneficial Owner,ZH,
Allen-Davis,,,Company Contacts,ZH,
Allen-Deleon,,,Beneficial Owner,ZH,
Allen-Eaton,,,Company Contacts,ZH,
Allen-Fisher,,,Company Contacts,ZH,
Allen-Fisher,,,Company Contacts,ZH,
Allen-Forbes,,,Company Contacts,ZH,
Allen-Francis,,4785.4199,Company,ZH,
Allen-Guzman,Clothing apparel and accessories,24351.269,Company,ZH,
Allen-Guzman,,,Company,ZH,
Allen-Hamilton,,,Company Contacts,ZH,
Allen-Hernandez,,,Beneficial Owner,ZH,
Allen-Johnson,,,Beneficial Owner,ZH,
Allen-Johnson,,,Company Contacts,ZH,
Allen-Landry,,,Company Contacts,ZH,
Allen-Maynard,,,Company Contacts,ZH,
Allen-Mcmillan,,,Company Contacts,ZH,
Allen-Morgan,,,Company Contacts,ZH,
Allen-Mullins,,,Beneficial Owner,ZH,
Allen-Osborn,,,Company Contacts,ZH,
Allen-Phelps,,,Company Contacts,ZH,
Allen-Potter,,,Beneficial Owner,ZH,
Allen-Robles,Machine tools accessories and precision surface inspection and tooling equipment,6209.9455,Company,ZH,
Allen-Rodriguez,,,Beneficial Owner,ZH,
Allen-Smith,,,Company Contacts,ZH,
Allen-Smith,,,Company Contacts,ZH,
Allen-Steele,,,Company Contacts,ZH,
Allen-Stein,,,Beneficial Owner,ZH,
Allen-Sutton,,,Company Contacts,ZH,
Allen-Tran,,,Beneficial Owner,ZH,
Allen-Vincent,,,Beneficial Owner,ZH,
Allen-Weaver,,,Beneficial Owner,ZH,
Allen-Woods,,,Beneficial Owner,ZH,
Allison Inc,,8506.6728,Company,ZH,Inc
