name,tot_company,tot_revenue
Jasmine Duffy,1,5188.81505
Tammy Fisher,3,7455.149225
Timothy Cox,2,5188.81505
Matthew Mccarty,1,0
Angela Wood,7,0
Samuel Norman,1,0
Sandra Wilkins,1,10745.78315
David Watts,2,10745.78315
Renee Mason,1,0
Frank Brown,1,1922.271175
Christopher Martinez,2,2490.378002
Rebecca Phillips,2,4758.727215
Amanda Rollins,1,1922.271175
Kimberly Harris,1,0
Michelle Richmond,3,85490.52224
Jared Harris,1,5036.6728
Frank Roach,1,1726.92832
Xavier Hendricks,1,1726.92832
Christina Thompson,1,1726.92832
Tony Snyder,1,1726.92832
Joseph Jones,2,10567.86658
Darrell Roy,1,0
Elizabeth White,2,4738.3364
George Powers,1,4738.3364
Dominique Allen,1,26566.6728
Nathan Meyer,1,0
Mrs. Jill Smith,1,0
Aaron Jones,5,71249.92613
Maurice Dennis,1,2388.3078
Julia Huang,1,2388.3078
Timothy Young,2,33210.80967
Valerie Martinez,1,10396.6728
Jason Lee,2,8183.3364
Mr. James Smith MD,2,8183.3364
Carlos Harvey,2,0
Kelly Thompson,1,8680.778187
John Jones,5,8680.778187
Jessica Palmer,2,8680.778187
Shannon Duran,1,8680.778187
Michelle Pruitt,1,8680.778187
John Banks,2,9105.021169
Larry Haley,1,8680.778187
Roberto Jarvis,1,8680.778187
Shannon Mendoza,1,8680.778187
David Robinson,2,72523.83627
Jason Munoz,1,8680.778187
Susan Hill,2,19612.07799
Curtis Brooks,1,8680.778187
Heather Mccullough,1,8680.778187
Anne Young,1,8680.778187
Nichole Mcdaniel PhD,2,23066.6728
Richard Edwards,1,2752.72275
Kimberly Hood,1,2752.72275
Stuart Snyder,1,2752.72275
Julie Cervantes,1,2752.72275
Michael Wall,1,0
Kevin Collins,2,32819.50754
Craig Scott,1,16352.83474
Melissa Conner,1,16352.83474
Annette Armstrong,1,16352.83474
Jennifer Ortega,1,16352.83474
Michelle Arnold,1,16352.83474
Rebecca Little,1,16352.83474
Donna Blair,1,16352.83474
Dr. Terri Smith,1,0
Richard Fry,1,0
Aaron Rogers,1,0
Taylor Chen,1,0
Jill Holmes,1,0
Dr. Earl Cobb,1,0
Rebecca Wade,1,0
Heather Davis,3,43263.02731
Kevin Castillo,1,0
Nathan Lopez,1,4426.75425
Natalie Crawford,1,4426.75425
Jennifer Black,1,0
Bradley Christensen,1,1555.5576
Manuel Harris,1,1555.5576
Paula Molina,1,1555.5576
Lisa Brady,2,2575.36945
Michael Martinez,4,112195.4845
Mary Whitaker,1,0
Mitchell Saunders,1,506612.5008
Laura Davis,3,110875.7243
Kristi Adams,1,4370.85795
Kimberly Diaz,3,4370.85795
Laura Nguyen,1,0
Jeremy Rush,2,15866.6728
Jennifer Hernandez,4,1653.272596
Cynthia Perez,2,0
Samantha Herrera,2,2654.445189
Mrs. Kelly Mata,1,0
John Miller,1,0
David Roberts,2,1426.6682
Christopher Nelson,1,0
Jerome Bauer,1,0
Luis Knapp,1,0
John Moore,2,0
Chase Rodriguez,2,12957.21416
Corey Williams,1,0
Sarah Fox,3,9231.0323
Travis Woods,1,0
Mr. Jeffrey Carson,1,0
Brandy Cole,1,0
Jason Sloan,1,0
James Shaw,2,0
Jose Norton,1,0
Ryan Johnson,5,1628.1613
Erica Perez,1,0
Alexander Lloyd,1,0
Martha Moreno,1,0
Amanda Massey,1,0
Jeffrey Keller,1,0
Amber Richards,1,0
Russell Walker,1,0
Scott Williams,4,0
Tyler Scott,1,0
Mia Richardson,1,0
Anthony Patel,1,0
Christine Wilson,1,0
Ms. Kimberly Dunlap,1,0
Carrie Green,1,0
Christine Lee,1,0
Jennifer Oneal,1,0
Tammy Smith,1,0
Antonio May,1,0
Dr. Amber Jones,1,0
Randy Tanner,1,0
Patricia Richardson,1,0
Tammy Hart,1,0
Justin Gaines,1,0
Sandy Monroe,1,0
Dorothy Rodriguez,1,0
Nicole Malone,1,0
Patrick Brown,2,0
Jack Kline,1,0
Alexander Santos,1,0
Lisa Powers,1,0
Jeremiah Ritter,1,0
Jose Ryan,1,0
Latasha Moss,1,0
John Shaw,1,0
Mark Hernandez,3,8266.431284
Lisa Hatfield,1,0
Annette Roberts,1,0
Katherine Martinez,1,0
Donald Key,1,0
Richard Duncan,1,0
Jenny Lane,1,0
Elizabeth Little,1,0
Scott Brown,2,10544.95721
Elizabeth Moore,2,110666.6728
Gerald Smith,1,0
Taylor Perez,1,0
Pamela Fisher,1,0
William Olson,1,0
Carolyn Shaffer,1,0
Michael Anderson,2,12179.23224
Victoria Hunt,1,0
Jennifer Bradford,1,0
Katrina Schneider,1,6206.6728
Brent Pena,1,5560.1514
Matthew Scott,1,5560.1514
Jill Williams,1,5560.1514
Edward Bradshaw,2,0
Ana Underwood,1,23966.6728
Jennifer Ferrell,1,12006.6728
Rebecca West,1,164666.6728
Carrie Gomez,1,196780.3562
John Carpenter,2,196780.3562
Julie Dickerson,1,196780.3562
Lisa Deleon,1,196780.3562
Lisa Gray,2,11026.6728
Kathryn Farrell,1,0
Andre Fuller,1,0
Michele Cunningham,1,0
Melissa Vazquez,1,50566.6728
Jason Huff,1,5636.6728
Jeffrey Waters,1,0
Aaron Weber,1,0
Allison Riley,2,0
Jeremy Hines,2,0
Kimberly Tucker,2,0
Daniel Cook,2,0
Christy Smith,1,0
William Hughes,2,0
Angela Hensley,1,0
Cynthia Hammond,1,0
Scott Simpson,1,0
Jason Caldwell,3,40991.86728
Carmen Martin MD,1,40991.86728
Shaun Rogers,1,40991.86728
David George,2,151039.5719
Lauren David,1,40991.86728
Carolyn Hamilton,1,40991.86728
Timothy Noble,1,40991.86728
Dr. Richard Garcia,1,40991.86728
Christopher Porter,2,40991.86728
Raymond Fischer,1,40991.86728
Matthew Hill,1,46966.6728
David Thomas,6,8977.659253
Dawn Warren,2,23551.92768
Zachary Bauer,1,25757.5877
Shannon Peterson,1,0
Angel Potter,1,14100.58563
Carol Murphy,1,14100.58563
Virginia Anderson,1,14100.58563
Amy Gilbert,1,0
John Lewis,1,12046.6728
John Williams,10,57999.21088
Gina Anderson DDS,1,25787.81408
Kenneth Smith,4,30479.73843
Mary Miller,4,33121.15048
Jamie Armstrong,1,25787.81408
Andrew Russell,1,25787.81408
Nicole Cummings,1,25787.81408
Karen Padilla,1,25787.81408
Stephanie Downs,1,25787.81408
Brian Simmons,1,25787.81408
Anthony Mccullough,1,25787.81408
Sabrina Johnson,1,25787.81408
Noah Robinson,1,25787.81408
Natalie Park,1,25787.81408
Nicholas Daugherty,1,25787.81408
Jose Yates,1,25787.81408
Christine Quinn,1,25787.81408
Amy Stephens,4,25787.81408
Sandy Burgess,1,25787.81408
Felicia Nash,1,25787.81408
Kenneth Griffith,1,25787.81408
Miranda Carroll,1,25787.81408
Lauren Marquez,2,25787.81408
Ashley Allen,1,25787.81408
Marc Whitney,1,25787.81408
Deborah Martinez,1,25787.81408
Matthew Pollard,1,25787.81408
Elizabeth Banks,1,0
Danielle Mann,1,0
Renee Nichols,1,0
Richard Ward,1,0
Carrie Lee,1,72609.0062
Sean Perry,1,0
Steven Morris,1,0
Mark Miller,5,1475345.525
Ms. Carmen Baldwin,1,0
Marie Holland,1,0
Emma Martin,1,0
Brooke Barnes,1,0
Bryce Matthews,1,0
Michael Arias,1,0
Karen Cohen,1,0
Steven Young,1,0
Cindy Jenkins,1,0
Ronald Fuller,1,0
Lindsey Watson,2,5710.3487
Derek Evans,1,0
Elizabeth Gallagher,1,0
Amanda Conner,1,0
Joseph Morris,1,0
Charles Johnson,2,0
Kathryn Davis,1,0
Miguel Dickson,1,0
Sabrina Davis,2,7199.48472
Thomas Allen,1,0
Rachel Mendoza,1,0
Laurie Gentry,1,54866.6728
Joshua Avery,1,18008.116
William Wade,2,0
Emma Perez,2,0
Philip Caldwell,2,0
Tanya Cross,1,0
Monica Jacobs,1,0
John Powell,1,0
Gregory Vincent,1,0
Travis Phillips,1,0
Hunter Martin,1,0
Tina Haynes,1,75995.9589
Calvin Carr,1,9476.6728
Eileen Rivera MD,1,21496.0701
Desiree Abbott,1,57502333.35
Tammy Adams,1,57502333.35
Joshua Wong,1,0
Matthew Johnson,5,47067.35895
Kathleen Faulkner,1,0
Anna Wheeler,7,0
Mr. Jason Carrillo,6,0
Sarah Townsend,1,7439.4772
Martin Summers,1,0
Holly Cook,1,15674.56858
David Austin,1,15674.56858
Mary Ward,1,15674.56858
Brian White DVM,1,15674.56858
Gregory Hansen,1,0
Jake Strickland,1,52110.3245
Clayton Chaney,1,0
Allen Martin,1,10649.3319
Shannon Wilson,1,10649.3319
Todd Lawrence,1,0
Paul Moore,1,21066.8895
Shawn Mckee,1,2846.385483
Joshua Mcguire,1,2846.385483
Daniel Brown,4,2846.385483
Cody Santiago,1,2846.385483
Holly Griffith,1,2846.385483
Matthew Bean,1,2846.385483
Jeffrey Davidson,1,0
Danielle Clarke,1,0
Matthew Blevins,1,0
John James,2,0
Jeffrey Curtis,1,0
Mr. John Harris DDS,1,0
Rachel Guzman,1,0
Michael Oconnor,2,5636.6728
Kimberly Nguyen,2,0
Linda Caldwell,1,0
Raymond Cortez,1,0
Donald Jackson,1,0
Theresa Carpenter,1,0
Ashley Barker,1,0
Donna Garrett,1,0
Susan Aguilar,1,17717.6024
Craig Smith,1,1781.796367
Ellen Stone,1,1781.796367
David Foster,1,1781.796367
Anthony Stuart,1,1781.796367
Kenneth Vargas,1,1781.796367
Heidi Ferguson,1,1781.796367
Thomas Vaughn,1,0
Jessica Carroll,1,3168.19505
Cristian Griffin,1,3168.19505
Travis Richardson,1,0
Mary Price,2,0
Randall Morris,2,0
Scott Johnson,3,0
Laurie Hubbard,1,15337.98242
Amy Estrada,1,15337.98242
Vincent Craig,1,15337.98242
Jeffrey Baker,2,15337.98242
Jessica Crawford,1,15337.98242
Mary Mayer,1,15337.98242
Tom Smith,1,15337.98242
Kristine Vargas,1,15337.98242
Joel Braun,1,15337.98242
Randy Chapman,1,15337.98242
Jennifer Martinez,3,33332.33882
Jason Wilson,3,15566.06895
Ryan Roberts,1,15337.98242
Vanessa Garrett,1,15337.98242
Keith Bishop,1,15337.98242
Teresa Schmidt,1,0
John Newman,3,126666.6728
Darius Rivas,1,14666.6728
Yesenia Lozano,1,0
Alec Gregory,1,0
Tara Wilcox,1,0
Cesar Ramos,1,41001.1177
Natalie Valencia,1,60624.3572
Lisa Mcgrath,1,0
Michael Soto,1,0
Peter Byrd,1,0
Dr. Danielle Maxwell,1,0
Traci Davis,1,0
Lance Wilson,1,0
Dr. Lisa Gonzalez MD,1,0
Heather Erickson,1,0
Jesus Mcclure,1,0
Dale Rhodes,2,0
Cynthia Murphy,2,0
Leah Cruz,2,0
Dawn Morris MD,1,0
Rebecca Soto,1,0
Jennifer Duarte,1,0
Phyllis Lane,1,0
Craig Lee,2,0
Christopher Strickland,1,0
Phillip Brewer,1,0
Kevin Garcia,4,0
Mark Tucker,1,0
Stacy Flores,1,0
James Cross,1,0
James Martinez,2,7346.27615
John Herrera,1,0
Kristina Drake,1,0
Lauren Robinson,2,0
Miss Gloria Owens,1,0
Jonathan Hall,2,7403.798625
Frederick Green,1,0
Casey Griffin Jr.,1,0
Mark Simmons,2,0
Stephanie Mccall,1,0
Michael Bell,6,146389.712
Hayley Brown,1,0
Anthony Hunter,1,0
Rachel Sanford,1,0
Jennifer Bauer,1,0
Shannon Snyder,1,0
Lisa Valentine,1,0
Thomas Snyder,1,0
William Solis,1,0
Mrs. Amy Graves,1,0
Jillian White,3,0
Leon Pittman,1,0
Vanessa Mccarty,1,0
Sarah Barrett,1,0
Travis Ramirez,1,156408.602
Sylvia Hancock,1,156408.602
Amanda Green,3,179560.1177
Lisa Green,4,0
Ellen Wright,2,0
Don Hebert,1,5136.6728
Tiffany Wright,2,8360.0229
Tiffany Cisneros,1,5471.74305
Joshua Adams,4,5536.6728
Patricia Moreno,1,435770.7204
Carmen Chavez,1,10536.6728
Sarah Lawrence,3,780.3707111
Rebecca Salazar,1,0
Larry Page,1,0
Jeffrey Richmond,1,74660.2266
Heather English,5,130666.6728
Kathleen Pope,1,0
Aaron Gonzalez,1,0
Paul Mcbride,1,0
Joshua Jones,2,174382.7035
Chris Rodgers,1,0
Emily Cooke,1,0
Tiffany Mercado,1,0
Karen Garcia,1,0
Jennifer Williamson,1,0
Rachel Alexander,3,6696.6728
Brenda Rodriguez,3,24349.78775
Rhonda Nielsen,1,0
Jessica Wilkinson,2,0
Susan Lewis,4,4221966.123
Laura Elliott,1,0
Michelle Miller,4,1874.074756
Joyce Huerta DVM,1,0
Cynthia Clark,1,0
Michael Kelley,1,0
Lori Decker,1,0
Rita Clark,1,0
Leslie Bruce,1,0
Susan Peck,1,0
Gregory Lowery,1,0
Teresa Grant,1,0
Alex Day,1,0
Howard Davila,1,0
Erik Kane,1,0
Kimberly Ford,1,0
Amanda Fuller,1,0
Janet Flores,2,11326.6728
Phillip Johnston,1,1704.385867
Laura Nelson,1,1704.385867
Terry Hodge,1,1704.385867
Joyce Burke,1,2248.91925
Sylvia Soto,1,2248.91925
Amy Mcclure,1,2248.91925
Larry Collins,1,2248.91925
Kylie Smith,2,5396.6728
Stephanie Wells MD,1,19085.9088
Anna Lopez,3,2684.848764
Megan Arnold,1,21559.26115
Francisco Ferrell,1,21559.26115
Timothy Hansen,1,0
Alexis Lane,1,0
Jennifer Campbell,2,5296.6728
Danielle Cole,2,0
Jaclyn Welch,1,8702.7331
James Davis,4,15606.90667
Sharon Gardner,1,8702.7331
Anthony Perez,3,0
Stephanie Contreras,1,7104.45752
Sharon Jefferson,1,7104.45752
Eduardo Navarro,1,7104.45752
Alan Tate,1,7104.45752
Jack Sharp,1,7104.45752
Richard Gilbert,2,8642.122939
Megan Nelson,1,6498.4779
Patrick Oliver,1,6498.4779
Wesley Smith,2,19473.60412
Katie Thornton,1,5403.5613
Kevin Forbes,1,5403.5613
Carol Jacobs,1,5403.5613
Joshua Johnson,3,0
David Thompson,1,799087.1576
Julie Yoder,1,0
Todd Small,1,0
Christopher Stone,1,0
Daniel Horn,1,0
Aaron Franco,1,0
James Young,1,0
Carla Smith,1,0
Sheila Williams,1,0
Daniel Suarez,1,0
Catherine Reed,1,0
Joshua Harris,2,4018.458224
Carla Atkins,1,3555.124333
Mary Smith,3,9486.935783
Mrs. Carrie Kelly,1,0
Gregory Kennedy,5,24850.0092
