source,target,type,BOCnt,CCCnt,tot_revenue,avg_revenue
Adams-Reyes,Jessica Peters,Company Contacts,0,1,0,0
Adams-Russell,Sherri Rivera,Beneficial Owner,1,0,0,0
Adams-Schmidt,John Barker,Beneficial Owner,1,0,0,0
Adams-Stanley,Tammy Hall,Company Contacts,0,1,0,0
Adams-Stone,Catherine Short,Company Contacts,0,1,0,0
Adams-Wilson,Terry Stanton,Beneficial Owner,2,0,0,0
Adams-Wilson,Dennis Miles,Beneficial Owner,2,0,0,0
"Adkins, Long and Elliott",Tyler Washington,Beneficial Owner,1,0,0,0
Adkins-Robinson,Ethan Roberts,Company Contacts,0,1,0,0
Adkins-Robles,Barbara Carey,Company Contacts,0,1,0,0
Adkins-Shepherd,Vincent Pena,Beneficial Owner,1,0,0,0
Adkins-Simmons,Crystal Martinez,Beneficial Owner,1,0,0,0
Adriatic  Nautical CJSC Holdings,Billy Martinez,Company Contacts,0,1,14181.4208,14181.4208
Adriatic  Seabass LC Transportation,Jane Dixon,Beneficial Owner,1,1,17566.6728,17566.6728
Adriatic  Seabass LC Transportation,Rebecca Perkins,Company Contacts,1,1,17566.6728,0
Adriatic Catch Ges.m.b.H. Forwading,Jonathan Oconnor,Beneficial Owner,1,1,11277.1793,11277.1793
Adriatic Catch Ges.m.b.H. Forwading,Ryan Perez,Company Contacts,1,1,11277.1793,0
Adriatic Catch Ges.m.b.H. Marine biology,Joshua Jackson,Beneficial Owner,2,1,0,0
Adriatic Catch Ges.m.b.H. Marine biology,Ashley Dalton,Beneficial Owner,2,1,0,0
Adriatic Catch Ges.m.b.H. Marine biology,Taylor Martin,Company Contacts,2,1,0,0
Adriatic Catch Ltd Transport,Robert Baker,Beneficial Owner,4,1,0,0
Adriatic Catch Ltd Transport,Jennifer Oliver,Beneficial Owner,4,1,0,0
Adriatic Catch Ltd Transport,Gabriel Ward,Beneficial Owner,4,1,0,0
Adriatic Catch Ltd Transport,Andrea Ortega,Beneficial Owner,4,1,0,0
Adriatic Catch Ltd Transport,Ronald Hicks,Company Contacts,4,1,0,0
Adriatic Catch Ltd. Liability Co,Geoffrey Sanders,Company Contacts,0,1,20066.6728,20066.6728
Adriatic Catch S.A. de C.V.,Richard Reese,Beneficial Owner,5,1,8869.44,1773.888
Adriatic Catch S.A. de C.V.,Dr. Karen Walker,Beneficial Owner,5,1,8869.44,1773.888
Adriatic Catch S.A. de C.V.,Stephen Jackson,Beneficial Owner,5,1,8869.44,1773.888
Adriatic Catch S.A. de C.V.,David Jones,Beneficial Owner,5,1,8869.44,1773.888
Adriatic Catch S.A. de C.V.,Christopher Randall,Beneficial Owner,5,1,8869.44,1773.888
Adriatic Catch S.A. de C.V.,Derek Marshall,Company Contacts,5,1,8869.44,0
Adriatic Catch SRL Line,Dr. Steven Fox,Company Contacts,0,1,0,0
Adriatic Catch SRL Seal,Christopher Solis,Beneficial Owner,1,1,54603.9287,54603.9287
Adriatic Catch SRL Seal,Angelica Davis,Company Contacts,1,1,54603.9287,0
Adriatic Mackerel Ges.m.b.H. Family,Madison Olson,Company Contacts,0,1,0,0
Adriatic Mackerel Ges.m.b.H. Worldwide,Brian Martinez,Beneficial Owner,4,1,74266.1809,18566.54523
Adriatic Mackerel Ges.m.b.H. Worldwide,Brian Arnold,Beneficial Owner,4,1,74266.1809,18566.54523
Adriatic Mackerel Ges.m.b.H. Worldwide,Bonnie Jimenez,Beneficial Owner,4,1,74266.1809,18566.54523
Adriatic Mackerel Ges.m.b.H. Worldwide,Jacob Parsons,Beneficial Owner,4,1,74266.1809,18566.54523
Adriatic Mackerel Ges.m.b.H. Worldwide,Daniel Nguyen,Company Contacts,4,1,74266.1809,0
Adriatic Mackerel N.V. Transport,Mary Khan,Company Contacts,0,1,113379.1323,113379.1323
Adriatic Squid AG Express,Anthony Harris,Beneficial Owner,1,1,0,0
Adriatic Squid AG Express,Sergio Jenkins,Company Contacts,1,1,0,0
Adriatic Squid AS Holdings,Mrs. Nicole Nichols,Beneficial Owner,16,1,16451.9034,1028.243963
Adriatic Squid AS Holdings,Michael Quinn,Beneficial Owner,16,1,16451.9034,1028.243963
Adriatic Squid AS Holdings,Dustin Gentry,Beneficial Owner,16,1,16451.9034,1028.243963
Adriatic Squid AS Holdings,Dawn Tanner,Beneficial Owner,16,1,16451.9034,1028.243963
Adriatic Squid AS Holdings,Jennifer Small,Beneficial Owner,16,1,16451.9034,1028.243963
Adriatic Squid AS Holdings,Ashley Campbell,Beneficial Owner,16,1,16451.9034,1028.243963
Adriatic Squid AS Holdings,Eric Padilla,Beneficial Owner,16,1,16451.9034,1028.243963
Adriatic Squid AS Holdings,Julie Lynn,Beneficial Owner,16,1,16451.9034,1028.243963
Adriatic Squid AS Holdings,Theresa Spencer,Beneficial Owner,16,1,16451.9034,1028.243963
Adriatic Squid AS Holdings,Tracy Ramsey,Beneficial Owner,16,1,16451.9034,1028.243963
Adriatic Squid AS Holdings,Michael Sanders,Beneficial Owner,16,1,16451.9034,1028.243963
Adriatic Squid AS Holdings,Veronica Esparza,Beneficial Owner,16,1,16451.9034,1028.243963
Adriatic Squid AS Holdings,Lisa Long,Beneficial Owner,16,1,16451.9034,1028.243963
Adriatic Squid AS Holdings,Brent Olsen,Beneficial Owner,16,1,16451.9034,1028.243963
Adriatic Squid AS Holdings,Sylvia Smith,Beneficial Owner,16,1,16451.9034,1028.243963
Adriatic Squid AS Holdings,Sandra Morgan,Beneficial Owner,16,1,16451.9034,1028.243963
Adriatic Squid AS Holdings,Anthony Evans,Company Contacts,16,1,16451.9034,0
Adriatic Squid Corporation Buoy,Leslie Adams,Company Contacts,0,1,0,0
Adriatic Squid Limited Liability Company Freight,Natalie Johnson,Company Contacts,0,1,24066.6728,24066.6728
Adriatic Squid Ltd. Liability Co,Cody Johnson,Beneficial Owner,3,2,13766.6728,4588.890933
Adriatic Squid Ltd. Liability Co,Sergio Ray,Beneficial Owner,3,2,13766.6728,4588.890933
Adriatic Squid Ltd. Liability Co,Angela Osborne,Company Contacts,3,2,13766.6728,0
Adriatic Squid Ltd. Liability Co,Angelica Wheeler,Beneficial Owner,3,2,13766.6728,4588.890933
Adriatic Squid Ltd. Liability Co,Shelly Strong,Company Contacts,3,2,13766.6728,0
Adriatic Tuna GmbH & Co. KG,Christopher White,Company Contacts,0,1,29366.6728,29366.6728
Adriatic Tuna NV Cod,Travis Drake,Company Contacts,0,1,0,0
Adriatic Tuna Pic Express,Jason Sellers,Company Contacts,0,1,0,0
Adriatic Tuna Seabass BV Transit,Matthew Mora,Beneficial Owner,3,1,91222.0779,30407.3593
Adriatic Tuna Seabass BV Transit,Tina Wilson,Beneficial Owner,3,1,91222.0779,30407.3593
Adriatic Tuna Seabass BV Transit,Vernon Cox,Beneficial Owner,3,1,91222.0779,30407.3593
Adriatic Tuna Seabass BV Transit,Ryan Stanley,Company Contacts,3,1,91222.0779,0
Adriatic Tuna Shipyard GmbH United,Brittany Rojas,Beneficial Owner,1,1,221337.9812,221337.9812
Adriatic Tuna Shipyard GmbH United,Jill Bennett,Company Contacts,1,1,221337.9812,0
Agua Express Marine mist,Thomas Burton,Company Contacts,0,1,14466.6728,14466.6728
Agua Limited Liability Company Services,Andrew Sullivan,Beneficial Owner,1,1,10254.1095,10254.1095
Agua Limited Liability Company Services,Jason Hill,Company Contacts,1,1,10254.1095,0
Agua Ltd. Corporation Carriers,Jason Watson,Company Contacts,0,1,7973.9168,7973.9168
Agua Ltd. Liability Co,Dean Dodson,Beneficial Owner,11,2,8201.395,745.5813636
Agua Ltd. Liability Co,Matthew Bennett,Beneficial Owner,11,2,8201.395,745.5813636
Agua Ltd. Liability Co,Jack Bailey,Beneficial Owner,11,2,8201.395,745.5813636
Agua Ltd. Liability Co,Tracy Harris,Beneficial Owner,11,2,8201.395,745.5813636
Agua Ltd. Liability Co,Richard Freeman,Beneficial Owner,11,2,8201.395,745.5813636
Agua Ltd. Liability Co,Pamela Marquez,Beneficial Owner,11,2,8201.395,745.5813636
Agua Ltd. Liability Co,Alexandra Johnson,Beneficial Owner,11,2,8201.395,745.5813636
Agua Ltd. Liability Co,Phillip Smith,Company Contacts,11,2,8201.395,0
Agua Ltd. Liability Co,Joseph Grant,Beneficial Owner,11,2,8201.395,745.5813636
Agua Ltd. Liability Co,Jacob Hunter,Beneficial Owner,11,2,8201.395,745.5813636
Agua Ltd. Liability Co,Mario Scott,Beneficial Owner,11,2,8201.395,745.5813636
Agua Ltd. Liability Co,Kimberly Calhoun,Beneficial Owner,11,2,8201.395,745.5813636
Agua Ltd. Liability Co,Elizabeth Thompson,Company Contacts,11,2,8201.395,0
Agua N.V. Marine life,Kevin Davis,Beneficial Owner,15,1,102092.7612,6806.18408
Agua N.V. Marine life,Russell Mendez,Beneficial Owner,15,1,102092.7612,6806.18408
Agua N.V. Marine life,Carla Moore,Beneficial Owner,15,1,102092.7612,6806.18408
Agua N.V. Marine life,Cynthia Parker,Beneficial Owner,15,1,102092.7612,6806.18408
Agua N.V. Marine life,Thomas Stephens,Beneficial Owner,15,1,102092.7612,6806.18408
Agua N.V. Marine life,Dr. Jeremy Taylor,Beneficial Owner,15,1,102092.7612,6806.18408
Agua N.V. Marine life,Kristen Smith,Beneficial Owner,15,1,102092.7612,6806.18408
Agua N.V. Marine life,Hayley Phillips,Beneficial Owner,15,1,102092.7612,6806.18408
Agua N.V. Marine life,Jamie Buchanan,Beneficial Owner,15,1,102092.7612,6806.18408
Agua N.V. Marine life,Theresa Marquez,Beneficial Owner,15,1,102092.7612,6806.18408
Agua N.V. Marine life,Parker Lawson,Beneficial Owner,15,1,102092.7612,6806.18408
Agua N.V. Marine life,Timothy Palmer,Beneficial Owner,15,1,102092.7612,6806.18408
Agua N.V. Marine life,Jennifer Miller,Beneficial Owner,15,1,102092.7612,6806.18408
Agua N.V. Marine life,Melinda Cook,Beneficial Owner,15,1,102092.7612,6806.18408
Agua N.V. Marine life,Patricia Rogers,Beneficial Owner,15,1,102092.7612,6806.18408
Agua N.V. Marine life,Amanda Glenn,Company Contacts,15,1,102092.7612,0
Aguamarina Beach AB Industrial,Erica Wells,Company Contacts,0,1,170666.6728,170666.6728
Aguamarina Jetty GmbH & Co. KG Logistics,Kristine Brown,Company Contacts,0,1,0,0
Aguamarina Limited Liability Company,Vanessa Jones,Company Contacts,0,1,55045.4068,55045.4068
Aguamarina S.A. de C.V.,Deborah Phillips,Beneficial Owner,22,1,84857.8698,3857.1759
Aguamarina S.A. de C.V.,Steven Montes,Beneficial Owner,22,1,84857.8698,3857.1759
Aguamarina S.A. de C.V.,Virginia Cuevas,Beneficial Owner,22,1,84857.8698,3857.1759
Aguamarina S.A. de C.V.,Jenna Mendoza,Beneficial Owner,22,1,84857.8698,3857.1759
Aguamarina S.A. de C.V.,Kristine Berg,Beneficial Owner,22,1,84857.8698,3857.1759
Aguamarina S.A. de C.V.,Marcus Allen,Beneficial Owner,22,1,84857.8698,3857.1759
Aguamarina S.A. de C.V.,Austin Rodriguez,Beneficial Owner,22,1,84857.8698,3857.1759
Aguamarina S.A. de C.V.,Amy Burns,Beneficial Owner,22,1,84857.8698,3857.1759
Aguamarina S.A. de C.V.,James Wright,Beneficial Owner,22,1,84857.8698,3857.1759
Aguamarina S.A. de C.V.,Monique Griffin,Beneficial Owner,22,1,84857.8698,3857.1759
Aguamarina S.A. de C.V.,Gregory Porter,Beneficial Owner,22,1,84857.8698,3857.1759
Aguamarina S.A. de C.V.,Sean Davies,Beneficial Owner,22,1,84857.8698,3857.1759
Aguamarina S.A. de C.V.,Christopher Gentry,Beneficial Owner,22,1,84857.8698,3857.1759
Aguamarina S.A. de C.V.,Dr. Joseph Gomez DVM,Beneficial Owner,22,1,84857.8698,3857.1759
Aguamarina S.A. de C.V.,Joseph Kennedy,Beneficial Owner,22,1,84857.8698,3857.1759
Aguamarina S.A. de C.V.,Nathan Pitts,Beneficial Owner,22,1,84857.8698,3857.1759
Aguamarina S.A. de C.V.,Keith Martin,Beneficial Owner,22,1,84857.8698,3857.1759
Aguamarina S.A. de C.V.,Brandi Proctor,Beneficial Owner,22,1,84857.8698,3857.1759
Aguamarina S.A. de C.V.,Jennifer Lopez,Beneficial Owner,22,1,84857.8698,3857.1759
Aguamarina S.A. de C.V.,Joshua Chan,Beneficial Owner,22,1,84857.8698,3857.1759
Aguamarina S.A. de C.V.,Mary Jackson,Beneficial Owner,22,1,84857.8698,3857.1759
Aguamarina S.A. de C.V.,Abigail Cross,Beneficial Owner,22,1,84857.8698,3857.1759
Aguamarina S.A. de C.V.,Jamie Schultz,Company Contacts,22,1,84857.8698,0
Aguilar and Sons,Robin Park,Company Contacts,0,1,0,0
Aguilar Group,Nicolas Hill,Beneficial Owner,2,0,0,0
Aguilar Group,Charles Cabrera DVM,Beneficial Owner,2,0,0,0
Aguilar Inc,Bradley Chaney,Beneficial Owner,1,0,0,0
Aguilar LLC,Timothy Webster,Beneficial Owner,1,0,0,0
Aguilar Ltd,Darren Callahan,Company Contacts,0,1,0,0
"Aguilar, Brown and Haynes",Erica Coleman,Beneficial Owner,1,0,0,0
"Aguilar, Gray and Murray",Kyle Zhang,Beneficial Owner,1,0,0,0
"Aguilar, Jones and Sanchez",Nicole Dixon,Company Contacts,0,1,0,0
"Aguilar, Powell and Sandoval",Rebecca Mullins,Beneficial Owner,1,0,0,0
Aguilar-Blake,Casey Gentry,Beneficial Owner,1,0,0,0
Aguilar-Hoover,Kevin Martinez,Beneficial Owner,1,0,0,0
Aguilar-Olson,Erin Brown,Beneficial Owner,1,0,0,0
