company_id,BOCnt,CCCnt
Alyssa Patterson,1,0
Alyssa Paul,1,0
Alyssa Peters,0,1
Alyssa Powell,1,0
Alyssa Randolph,1,0
Alyssa Richards,0,1
Alyssa Torres,0,1
Alyssa Turner,1,0
Alyssa Vaughn,1,0
Alyssa Ware,1,0
Alyssa Williams,2,0
Alyssa Wilson,0,1
Amanda Adams,0,1
Amanda Aguirre,1,0
Amanda Allen,1,0
Amanda Anderson,1,0
Amanda Arias,2,0
Amanda Baird,0,1
Amanda Baldwin,1,0
Amanda Ballard,1,0
Amanda Bell,0,1
Amanda Boyd,1,0
Amanda Braun,0,1
Amanda Brown,1,0
Amanda Bryant,1,0
Amanda Burgess,1,0
Amanda Campbell,0,1
Amanda Carpenter,1,0
Amanda Carr,1,0
Amanda Carter,1,0
Amanda Castro,1,0
Amanda Chapman,1,0
Amanda Chavez,1,0
Amanda Chen,1,0
Amanda Clark,2,0
Amanda Coffey,1,0
Amanda Conner,1,0
Amanda Conway,1,0
Amanda Cooper,1,0
Amanda Crawford,0,1
Amanda Davis,3,0
Amanda Dennis,0,1
Amanda Diaz,1,0
Amanda Doyle,1,0
Amanda Dudley,0,1
Amanda Duncan,0,1
Amanda Eaton,0,1
Amanda Flowers DDS,1,0
Amanda Foster,0,1
Amanda Fox,0,1
Amanda Freeman,0,1
Amanda Frye,1,0
Amanda Fuller,0,1
Amanda Gaines,1,0
Amanda Gardner,1,0
Amanda Garner,1,0
Amanda Garza,0,1
Amanda Gibson,1,0
Amanda Glenn,0,1
Amanda Glover,1,0
Amanda Gomez,0,1
Amanda Gonzalez,0,1
Amanda Gonzalez DDS,1,0
Amanda Gordon,1,0
Amanda Graham DDS,1,0
Amanda Grant,1,0
Amanda Gray,1,0
Amanda Green,3,0
Amanda Grimes,0,1
Amanda Guerrero,0,3
Amanda Guzman,1,0
Amanda Hale,2,0
Amanda Hall,1,0
Amanda Harrison,1,0
Amanda Hart,1,0
Amanda Hernandez,1,0
Amanda Holland,1,0
Amanda Horn,1,0
Amanda Hudson,1,0
Amanda Hughes,1,0
Amanda Ibarra,0,1
Amanda Jackson,1,0
Amanda James,1,0
Amanda Johnson,2,1
Amanda Johnston,1,0
Amanda Kelly,1,0
Amanda Kerr,1,0
Amanda Kim,0,1
Amanda King,0,1
Amanda Knapp,1,0
Amanda Lang,1,0
Amanda Lee,2,0
Amanda Levy,1,0
Amanda Lewis,2,1
Amanda Lloyd,1,0
Amanda Lopez,1,0
Amanda Lynn,1,0
Amanda Mann,0,1
Amanda Marks,1,0
Amanda Marquez,1,2
Amanda Marsh,2,0
Amanda Marshall,1,0
Amanda Massey,1,0
Amanda Matthews,1,0
Amanda Mccann,0,1
Amanda Mcdonald,1,0
Amanda Mcgee,1,0
Amanda Mcintosh,1,0
Amanda Mckenzie,1,0
Amanda Mendez,0,1
Amanda Meyers,1,0
Amanda Miller,1,0
Amanda Mills,0,1
Amanda Mitchell,1,0
Amanda Moore,1,0
Amanda Morgan,0,1
Amanda Mosley,0,1
Amanda Myers,1,0
Amanda Navarro,1,0
Amanda Nelson,1,0
Amanda Nelson MD,0,1
Amanda Nguyen,0,1
Amanda Nielsen,1,0
Amanda Norris,1,0
Amanda Nunez,1,0
Amanda Orozco,1,0
Amanda Owens,1,0
Amanda Pace,1,0
Amanda Parsons,1,0
Amanda Patrick,1,0
Amanda Patterson,1,0
Amanda Perez,1,0
Amanda Perkins,0,1
Amanda Reed,2,0
Amanda Reynolds,1,0
Amanda Richardson,0,1
Amanda Riley,1,0
Amanda Roberts,1,0
Amanda Robinson,1,1
Amanda Rodriguez,2,0
Amanda Rollins,1,0
Amanda Rose,0,2
Amanda Russell,1,0
Amanda Sanchez,1,0
Amanda Santos,1,0
Amanda Saunders,1,0
Amanda Schmidt,1,1
Amanda Schneider,0,1
Amanda Serrano,0,1
Amanda Shaw,1,0
Amanda Singh,1,0
Amanda Smith,4,1
Amanda Steele,2,0
Amanda Stevens,1,1
Amanda Stewart,0,1
Amanda Taylor,1,0
Amanda Terry,1,0
Amanda Thomas,2,0
Amanda Trujillo,1,0
Amanda Vargas,1,0
Amanda Vaughn,1,0
Amanda Walker,0,1
Amanda Waller,0,1
Amanda Watts,1,0
Amanda Weber,2,0
Amanda Wells,1,1
Amanda West,1,0
Amanda Wilcox,1,0
Amanda Williams,3,0
Amanda Williamson,1,0
Amanda Wood,0,1
Amanda Woodard,0,1
Amanda Woods,1,0
Amanda Zimmerman,1,0
Amber Anderson,1,0
Amber Atkins,1,0
Amber Austin,1,0
Amber Baker,1,0
Amber Baldwin,1,1
Amber Bass,0,1
Amber Bauer,0,1
Amber Bell,1,0
Amber Bray,1,0
Amber Brown,0,1
Amber Burch,1,1
Amber Castillo,0,1
Amber Cook,1,0
Amber Dennis,1,0
Amber Diaz,1,0
Amber Dillon,1,0
Amber Dixon,0,2
Amber Donovan,1,0
Amber Duke,0,1
Amber Dunn,1,0
Amber Elliott,0,2
Amber Estrada,1,0
Amber Ferguson PhD,0,1
Amber Flores,1,0
Amber Fowler,0,1
Amber Frazier,0,1
Amber Garcia,2,0
Amber Gomez,1,0
Amber Gonzalez,0,1
Amber Gray,0,1
Amber Griffith,1,0
Amber Guerra,1,0
Amber Hall,0,1
Amber Haynes,1,0
Amber Hernandez,1,0
Amber James,1,0
Amber Kaiser,1,0
Amber Kelley,1,0
Amber King,0,2
Amber Leonard,0,1
Amber Little,0,1
Amber Long,0,1
Amber Love,0,1
Amber Maldonado,1,0
Amber Martin,3,0
Amber Martinez,0,1
Amber Mcknight,1,0
Amber Mendoza,1,0
Amber Merritt,1,0
Amber Miller,2,0
Amber Moyer,0,1
Amber Murphy,1,0
Amber Navarro,1,0
Amber Nguyen,1,0
Amber Ochoa,1,0
Amber Parsons,0,1
Amber Patel,1,0
Amber Phelps,0,1
Amber Phillips,0,2
Amber Porter,0,1
Amber Price,0,1
Amber Pugh,0,1
Amber Ray,1,0
Amber Reilly,1,0
Amber Richards,1,0
Amber Rios,1,0
Amber Rogers,1,0
Amber Romero,0,1
Amber Salas,1,0
Amber Sanchez,1,0
Amber Schaefer,1,0
Amber Silva,0,1
Amber Simmons,0,1
Amber Stout,1,0
Amber Thomas,0,1
Amber Turner,0,1
Amber Wallace,0,2
Amber Watson,1,0
Amber White,1,0
Amber Wilkins,0,1
Amy Allen,0,1
Amy Anderson,1,1
Amy Arnold,1,0
Amy Austin,1,0
Amy Bailey,1,0
Amy Beard,1,0
Amy Beltran,0,1
Amy Bolton,0,1
Amy Bradford,0,1
Amy Burns,1,0
Amy Butler,1,0
Amy Campbell,0,1
Amy Cantu,1,0
Amy Carter,1,1
Amy Castillo,0,1
Amy Chung,1,0
Amy Clark,0,3
Amy Cohen,1,0
Amy Collins,1,0
Amy Collins DDS,1,0
Amy Compton,1,0
Amy Crosby,1,0
Amy Daniel,1,0
Amy Daugherty,1,0
Amy Davis,2,0
Amy Diaz,1,0
Amy Ellis,0,1
Amy Ellison,0,1
Amy Estrada,1,0
Amy Evans,1,0
Amy Ferguson,0,1
Amy Fox,1,0
Amy Fuller,1,0
Amy Gibbs,0,1
Amy Gilbert,0,1
Amy Gonzalez,2,1
Amy Goodman,1,0
Amy Green,2,0
Amy Griffin,0,1
Amy Griffith,1,0
Amy Guerrero,2,0
Amy Hall,1,1
Amy Hampton,0,1
Amy Harris,2,0
Amy Henry,0,1
Amy Hernandez,0,1
Amy Hicks,1,0
Amy Hill,1,1
Amy Hoffman,1,0
Amy Hogan,1,0
Amy Hudson,1,0
Amy Huff,1,0
Amy Hughes,1,0
Amy James,0,1
Amy Johnson,2,0
Amy Jones,0,1
Amy Kelly,1,2
Amy King,1,0
Amy Lawson,1,0
Amy Lee,1,1
Amy Leonard,1,0
Amy Lester,1,0
Amy Lewis,1,0
Amy Logan,0,1
Amy Lopez,1,0
Amy Lynch,0,1
Amy Marshall,1,0
Amy Martin,1,0
Amy Martinez,4,0
Amy Mccarthy,1,0
Amy Mcclure,1,0
Amy Mcdonald,1,0
Amy Mckee,1,0
Amy Mitchell,1,1
Amy Montgomery,1,0
Amy Moore,1,0
Amy Morgan,1,0
Amy Murphy,1,0
Amy Newman,0,1
Amy Obrien,0,1
Amy Palmer,1,0
Amy Payne,0,2
Amy Petty,1,0
Amy Robbins,1,0
Amy Rogers,0,1
Amy Rollins,1,0
Amy Rowe,1,0
Amy Schmidt,1,0
Amy Schwartz,1,0
Amy Sheppard,1,0
Amy Simmons,1,0
Amy Small,0,1
Amy Smith,0,1
Amy Smith MD,1,0
Amy Spencer,1,0
Amy Stanton,0,1
Amy Stephens,2,2
Amy Stevens,0,1
Amy Stone,1,0
Amy Thomas,0,1
Amy Thompson,2,0
Amy Todd,0,1
Amy Torres,0,1
Amy Vance,1,0
Amy Vazquez,2,0
Amy Wallace,1,0
Amy Washington,0,1
Amy Weeks,2,0
Amy Williams,5,2
Amy Wong,0,2
Amy Woods,3,0
Amy Wu,0,1
Amy Young,1,0
Ana Brown,1,0
Ana Crawford,1,0
Ana Daugherty,1,0
Ana Dawson,1,0
Ana Harris,1,0
Ana Leonard,0,1
Ana Ray,0,1
Ana Underwood,0,1
Ana Wilson,1,0
Andre Brown,1,0
Andre Floyd,1,0
Andre Fuller,1,0
Andre Holt,1,0
Andre Jefferson,1,0
Andre Johnson,0,1
Andre Lane,1,0
Andre Mata,0,1
Andre Mcdaniel,1,0
Andre Miller,1,0
Andre Miranda,0,1
Andre Myers,1,0
Andre Nolan,1,0
Andre Perez,1,0
Andre Thomas,1,0
Andre Whitaker,1,0
Andrea Adams,1,0
Andrea Allen,0,1
Andrea Archer,1,0
Andrea Baker,1,0
Andrea Barnes,1,0
Andrea Benjamin,1,0
Andrea Black,1,0
Andrea Bowen,1,0
Andrea Brown,0,1
Andrea Cain,1,0
Andrea Carey,1,0
Andrea Carlson,0,1
Andrea Castro,1,1
Andrea Cisneros,0,1
Andrea Cobb,1,0
Andrea Coffey,1,0
Andrea Crosby,1,0
Andrea Cummings,1,0
Andrea Curry,1,0
Andrea Escobar,1,0
Andrea Ferguson,1,0
Andrea Fletcher,1,0
Andrea Fox,2,0
Andrea Franklin,1,0
Andrea Garza,1,0
Andrea Gibson,0,1
Andrea Gonzales,1,0
Andrea Hall,1,0
Andrea Harris,1,0
Andrea Henderson,1,0
Andrea Hernandez,0,1
Andrea Johnson,1,0
Andrea Jones,1,0
Andrea King,1,0
Andrea Klein,1,0
Andrea Lambert,0,1
Andrea Leonard,1,0
Andrea Levine,1,0
Andrea Lewis,1,0
Andrea Lopez,1,0
Andrea Martinez,1,0
Andrea Melton,1,0
Andrea Miller,2,1
Andrea Miller DDS,1,0
Andrea Moody,0,1
Andrea Morrison,0,1
Andrea Murray,1,0
Andrea Norman,1,0
Andrea Ortega,2,0
Andrea Potter,0,1
Andrea Reed,1,0
Andrea Reeves,1,0
Andrea Reynolds,1,0
Andrea Richard,0,1
Andrea Robertson,1,0
Andrea Rodriguez,2,0
Andrea Roth,1,0
Andrea Ruiz,1,0
Andrea Ryan,1,0
Andrea Schmidt,1,0
Andrea Shepard,1,0
Andrea Skinner,1,0
Andrea Smith,1,0
Andrea Stanley,1,0
Andrea Stanton,1,0
Andrea Stark,1,0
Andrea Stewart,1,0
Andrea Sullivan,1,0
Andrea Taylor,1,1
Andrea Tucker,1,0
Andrea Wade,0,1
Andrea Ward,1,1
Andrea Wheeler,1,0
Andrea Williams,1,1
Andrea Wood,1,0
Andrea Woods,1,0
Andres Fitzpatrick,0,1
Andres Houston,3,0
Andres Key,1,0
Andres Perry,1,0
Andrew Acosta,1,0
Andrew Adams,1,1
Andrew Adkins,1,0
Andrew Allen,1,0
Andrew Anderson,1,0
Andrew Barnes,1,0
Andrew Barnett,2,0
Andrew Bennett,1,0
Andrew Bowman,1,0
Andrew Bradley,1,0
Andrew Brock,1,0
Andrew Brown,1,0
Andrew Butler,1,0
Andrew Caldwell MD,1,0
Andrew Chan,1,0
Andrew Chapman,1,0
Andrew Chavez,1,0
Andrew Clark,1,0
Andrew Collins,1,0
Andrew Conner,0,1
Andrew Crane,1,0
Andrew Cunningham,2,0
Andrew Diaz,1,0
Andrew Donaldson,0,1
Andrew Douglas,0,3
Andrew Drake,1,0
Andrew Duncan,1,0
Andrew Dunn,1,0
Andrew Elliott,1,0
Andrew Ellis,1,0
Andrew Espinoza,1,0
Andrew Estes,1,0
Andrew Estrada,1,0
Andrew Evans,0,1
Andrew Farrell,0,1
Andrew Fields,1,0
Andrew Flores,1,0
Andrew Gibson,1,0
Andrew Gonzalez,2,0
Andrew Gonzalez PhD,0,1
Andrew Graham,1,0
Andrew Green,2,0
Andrew Greene,1,0
Andrew Gregory,1,0
Andrew Gross,0,1
Andrew Gutierrez,1,0
Andrew Harris,3,0
Andrew Henry,1,0
Andrew Hensley,1,0
Andrew Herrera,1,0
Andrew Hill,1,0
Andrew Hodge,1,0
Andrew House,1,0
Andrew Huff,1,0
Andrew Jackson,2,0
Andrew Jensen,0,1
Andrew Johnson,0,1
Andrew Jones,3,0
Andrew Kelly,1,0
Andrew Le,0,1
Andrew Leonard,1,0
Andrew Lewis,1,1
Andrew Lopez,0,1
Andrew Macias,1,0
Andrew Marsh,0,1
Andrew Martin,1,0
Andrew Martinez,1,0
Andrew Mathis,1,0
Andrew Matthews,1,0
Andrew Mayer,0,1
